gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
3537.88,31.39,0,8.2125,3533.54
3571.88,31.39,15,0.0,3533.54
3603.88,36.64,15,0.0,3533.54
3603.88,40.41,100,0.0,3533.54
3603.88,44.35,100,1.2375,3533.54
3603.88,47.91,94,0.0,3533.54
3603.88,51.72,94,0.0,3533.54
3603.88,59.45,95,1.2375,3533.54
3603.88,63.25,95,0.0,3533.54
3603.88,67.27,95,0.0,3533.54
3603.88,70.75,95,0.0,3533.54
3603.88,74.49,95,0.0,3533.54
3603.88,72.51,95,2.4875,3533.54
3603.88,72.25,95,1.2375,3533.54
3603.88,72.41,95,0.0,3533.54
3611.88,72.73,92,0.0,3533.54
3611.88,72.78,92,0.0,3533.54
3611.88,72.13,98,1.25,3533.54
3611.88,72.06,98,0.0,3533.54
3611.88,72.24,95,0.0,3533.54
3611.88,71.74,95,0.0,3533.54
3611.88,72.23,95,0.0,3533.54
3611.88,72.05,95,1.2375,3533.54
3611.88,72.28,96,0.0,3533.54
3611.88,72.12,96,1.15,3533.54
3611.88,68.48,86,1.2375,3533.54
3611.88,68.19,86,0.0,3533.54
3611.88,68.12,96,0.0,3533.54
3611.88,68.89,96,0.0,3533.54
3611.88,69.14,94,1.2375,3533.54
3611.88,69.02,94,0.0,3533.54
3611.88,69.19,94,0.0,3533.54
3611.88,69.08,94,1.25,3533.54
3611.88,70.84,88,0.0,3533.54
3611.88,69.86,88,1.2375,3533.54
3611.88,70.05,88,0.0,3533.54
3611.88,70.05,97,0.0,3533.54
3611.88,72.92,97,0.0,3533.54
3611.88,72.78,95,1.2125,3533.54
3611.88,72.62,95,0.0,3533.54
3611.88,72.62,95,2.4375,3533.54
3611.88,72.84,89,0.0,3533.54
3611.88,72.57,89,1.2125,3533.54
3611.88,70.94,97,0.0,3533.54
3611.88,71.99,97,0.0,3533.54
3611.88,71.99,95,1.225,3533.54
3611.88,72.0,95,0.0,3533.54
3611.88,72.3,95,1.2125,3533.54
3611.88,70.83,95,0.0,3533.54
3611.88,70.61,91,1.2125,3533.54
3611.88,70.41,91,0.0,3533.54
3611.88,69.64,97,0.0,3533.54
3611.88,70.02,97,1.2125,3533.54
3611.88,70.38,96,0.0,3533.54
3611.88,70.38,96,0.0,3533.54
3611.88,70.13,96,0.0,3533.54
3611.88,69.74,96,1.25,3533.54
3611.88,69.72,96,0.0,3533.54
3611.88,69.79,96,0.0,3533.54
3611.88,71.29,96,1.2375,3533.54
3611.88,71.47,96,0.0,3533.54
3611.88,71.3,96,0.0,3533.54
3611.88,71.52,96,0.0,3533.54
3611.88,71.58,96,1.25,3533.54
3611.88,71.62,96,1.25,3533.54
3611.88,72.11,88,0.0,3533.54
3611.88,71.17,100,0.0,3533.54
3611.88,71.49,100,1.25,3533.54
3611.88,71.03,97,0.0,3533.54
3611.88,71.14,97,0.0,3533.54
3611.88,71.36,96,0.0,3533.54
3611.88,71.6,96,1.2375,3533.54
3611.88,71.86,96,0.0,3533.54
3611.88,71.74,96,1.2,3533.54
3611.88,73.3,90,0.0,3533.54
3611.88,71.28,90,1.25,3533.54
3611.88,72.14,97,0.0,3533.54
3611.88,71.97,97,0.0,3533.54
3611.88,72.81,97,0.0,3533.54
3611.88,72.93,96,1.25,3533.54
3611.88,72.95,96,0.0,3533.54
3611.88,72.98,96,0.0,3533.54
3611.88,72.98,96,0.0,3533.54
3611.88,72.86,96,2.4875,3533.54
3611.88,72.86,96,0.0,3533.54
3611.88,71.98,90,0.0,3533.54
3611.88,70.14,90,1.25,3533.54
3611.88,70.56,99,0.0,3533.54
3611.88,70.83,99,0.0,3533.54
3611.88,71.05,96,1.25,3533.54
3611.88,70.82,96,0.0,3533.54
3611.88,70.87,96,0.0,3533.54
3611.88,70.75,96,0.0,3533.54
3611.88,70.71,96,1.25,3533.54
3611.88,70.51,96,2.4875,3533.54
3611.88,70.52,96,0.0,3533.54
3611.88,71.58,90,0.0,3533.54
3611.88,70.92,90,0.0,3533.54
3611.88,71.85,96,1.2375,3533.54
3611.88,72.02,96,1.25,3533.54
3611.88,73.64,91,0.0,3533.54
3611.88,72.02,91,0.0,3533.54
3611.88,72.11,97,0.0,3533.54
3611.88,72.35,97,0.0,3533.54
3611.88,72.46,97,1.2375,3533.54
3611.88,72.46,97,0.0,3533.54
3611.88,72.09,97,1.1875,3533.54
3611.88,72.87,96,0.0,3533.54
3611.88,72.7,92,0.0,3533.54
3611.88,72.08,92,1.25,3533.54
3611.88,71.86,96,0.0,3533.54
3611.88,70.53,96,0.0,3533.54
3611.88,72.21,96,0.0,3533.54
3611.88,72.26,96,0.0,3533.54
3611.88,71.9,96,1.2375,3533.54
3611.88,71.9,96,0.0,3533.54
3611.88,71.62,96,0.0,3533.54
3611.88,71.6,96,1.2125,3533.54
3611.88,71.84,97,0.0,3533.54
3611.88,71.61,97,0.0,3533.54
3611.88,72.19,96,0.0,3533.54
3611.88,72.19,96,2.4125,3533.54
3611.88,73.9,90,0.0,3533.54
3611.88,73.79,90,0.0,3533.54
3611.88,73.52,100,0.0,3533.54
3611.88,73.19,100,0.0,3533.54
3611.88,73.36,96,0.0,3533.54
3611.88,73.52,96,1.225,3533.54
3611.88,73.33,95,0.0,3533.54
3611.88,73.38,95,0.0,3533.54
3611.88,73.72,96,0.0,3533.54
3611.88,73.57,96,1.225,3533.54
3611.88,73.5,96,0.0,3533.54
3611.88,71.75,96,0.0,3533.54
3611.88,71.63,96,0.0,3533.54
3611.88,71.62,96,0.0,3533.54
3611.88,72.05,96,1.2375,3533.54
3611.88,72.22,96,0.0,3533.54
3611.88,72.03,96,0.0,3533.54
3611.88,71.75,92,1.2375,3533.54
3611.88,71.74,92,1.1875,3533.54
3611.88,71.62,100,0.0,3533.54
3611.88,70.88,100,0.0,3533.54
3611.88,70.81,95,1.2125,3533.54
3611.88,70.91,95,0.0,3533.54
3611.88,71.18,96,0.0,3533.54
3611.88,71.1,96,0.0,3533.54
3611.88,70.94,96,1.225,3533.54
3611.88,71.06,96,0.0,3533.54
3611.88,71.58,96,0.0,3533.54
3611.88,71.76,96,0.0,3533.54
3611.88,71.7,96,0.0,3533.54
3611.88,71.7,96,0.0,3533.54
3611.88,72.24,96,1.2375,3533.54
3611.88,72.24,96,0.0,3533.54
3611.88,72.17,96,0.0,3533.54
3611.88,72.17,96,1.225,3533.54
3611.88,72.33,96,1.2,3533.54
3611.88,71.89,90,0.0,3533.54
3611.88,72.13,90,0.0,3533.54
3611.88,72.13,95,0.0,3533.54
3611.88,72.24,95,1.225,3533.54
3611.88,72.16,96,0.0,3533.54
3611.88,71.89,95,0.0,3533.54
3611.88,72.07,95,0.0,3533.54
3611.88,71.86,96,1.225,3533.54
3611.88,71.93,96,0.0,3533.54
3611.88,71.83,96,0.0,3533.54
3611.88,71.41,96,0.0,3533.54
3611.88,72.11,96,0.0,3533.54
3611.88,71.93,96,1.225,3533.54
3611.88,71.58,95,1.1,3533.54
3611.88,71.92,95,0.0,3533.54
3611.88,72.59,89,0.0,3533.54
3611.88,72.03,89,1.225,3533.54
3611.88,72.29,96,0.0,3533.54
3611.88,72.73,96,0.0,3533.54
3611.88,72.67,96,0.0,3533.54
3611.88,72.7,96,0.0,3533.54
3611.88,72.8,96,1.225,3533.54
3611.88,70.6,96,0.0,3533.54
3611.88,70.35,91,1.2125,3533.54
3611.88,70.31,91,1.2125,3533.54
3611.88,70.12,94,0.0,3533.54
3611.88,69.87,94,1.2125,3533.54
3611.88,70.5,95,1.2,3533.54
