gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
7607.88,38.3,0,6.2375,3536.82
7621.88,32.23,0,1.2375,3536.82
7633.88,35.98,46,0.0,3536.82
7645.88,39.02,46,0.0,3536.82
7657.88,43.03,100,0.0,3536.82
7657.88,47.19,100,1.225,3536.82
7657.88,51.04,100,0.0,3536.82
7657.88,54.41,100,1.2375,3536.82
7657.88,58.34,94,0.0,3536.82
7657.88,62.05,94,1.2125,3536.82
7657.88,65.6,97,0.0,3536.82
7657.88,69.05,97,0.0,3536.82
7657.88,72.58,97,1.2125,3536.82
7657.88,72.64,97,0.0,3536.82
7657.88,72.44,97,0.0,3536.82
7657.88,72.58,97,0.0,3536.82
7657.88,72.02,96,1.2125,3536.82
7657.88,72.09,97,0.0,3536.82
7657.88,72.43,97,0.0,3536.82
7657.88,72.19,97,0.0,3536.82
7657.88,72.36,97,1.2125,3536.82
7657.88,72.39,97,0.0,3536.82
7657.88,72.7,97,0.0,3536.82
7657.88,72.62,96,1.2125,3536.82
7657.88,72.51,96,0.0,3536.82
7657.88,72.08,98,2.275,3536.82
7657.88,73.54,98,0.0,3536.82
7657.88,73.37,88,0.0,3536.82
7657.88,73.4,88,1.2125,3536.82
7663.88,73.17,100,0.0,3536.82
7663.88,73.71,100,0.0,3536.82
7663.88,73.67,100,1.2125,3536.82
7663.88,73.49,100,0.0,3536.82
7663.88,73.52,94,0.0,3536.82
7663.88,73.74,94,1.2125,3536.82
7663.88,73.71,98,0.0,3536.82
7663.88,74.01,98,1.2125,3536.82
7663.88,72.85,98,1.2125,3536.82
7663.88,73.07,98,0.0,3536.82
7663.88,72.88,98,0.0,3536.82
7663.88,73.0,98,0.0,3536.82
7663.88,72.35,97,0.0,3536.82
7663.88,72.23,97,1.2375,3536.82
7663.88,72.55,98,0.0,3536.82
7663.88,72.47,98,0.0,3536.82
7663.88,72.39,98,1.25,3536.82
7663.88,72.47,98,0.0,3536.82
7663.88,72.47,98,0.0,3536.82
7663.88,72.29,98,0.0,3536.82
7663.88,72.14,98,1.2375,3536.82
7663.88,72.11,98,0.0,3536.82
7663.88,72.21,97,0.0,3536.82
7663.88,69.53,97,1.2375,3536.82
7663.88,69.46,91,1.2375,3536.82
7663.88,69.59,91,0.0,3536.82
7663.88,69.38,100,0.0,3536.82
7663.88,69.44,100,1.25,3536.82
7663.88,69.44,94,0.0,3536.82
7663.88,69.6,94,0.0,3536.82
7663.88,69.57,98,0.0,3536.82
7663.88,69.64,98,1.2375,3536.82
7663.88,69.68,97,0.0,3536.82
7663.88,69.64,97,0.0,3536.82
7663.88,69.93,98,1.2375,3536.82
7663.88,72.88,98,0.0,3536.82
7663.88,72.87,98,0.0,3536.82
7663.88,72.44,98,1.25,3536.82
7663.88,72.49,98,0.0,3536.82
7663.88,72.41,98,0.0,3536.82
7663.88,72.24,98,0.0,3536.82
7663.88,71.98,98,1.2375,3536.82
7663.88,71.95,97,0.0,3536.82
7663.88,71.99,97,0.0,3536.82
7663.88,72.2,98,1.25,3536.82
7663.88,72.03,98,1.25,3536.82
7663.88,71.88,98,0.0,3536.82
7663.88,71.99,98,0.0,3536.82
7663.88,72.42,98,1.25,3536.82
7663.88,72.49,97,0.0,3536.82
7663.88,72.42,97,0.0,3536.82
7663.88,72.83,98,1.2375,3536.82
7663.88,72.81,98,0.0,3536.82
7663.88,72.68,98,0.0,3536.82
7663.88,72.48,98,0.0,3536.82
7663.88,72.45,98,1.25,3536.82
7663.88,72.54,98,0.0,3536.82
7663.88,72.54,98,0.0,3536.82
7663.88,72.61,98,1.2125,3536.82
7663.88,72.52,98,0.0,3536.82
7663.88,72.34,97,1.2125,3536.82
7663.88,72.2,97,0.0,3536.82
7663.88,72.2,98,1.2125,3536.82
7663.88,69.89,98,1.2125,3536.82
7663.88,69.45,90,0.0,3536.82
7663.88,69.52,90,0.0,3536.82
7663.88,69.01,99,0.0,3536.82
7663.88,69.27,99,1.2125,3536.82
7663.88,69.55,98,0.0,3536.82
7663.88,69.55,98,0.0,3536.82
7663.88,69.58,98,1.2125,3536.82
7663.88,69.86,97,0.0,3536.82
7663.88,69.62,97,0.0,3536.82
7663.88,71.95,98,0.0,3536.82
7663.88,72.15,98,1.2125,3536.82
7663.88,71.95,98,0.0,3536.82
7663.88,72.47,98,0.0,3536.82
7663.88,72.29,98,1.2125,3536.82
7663.88,72.25,98,0.0,3536.82
7663.88,72.17,97,1.2125,3536.82
7663.88,72.14,97,0.0,3536.82
7663.88,71.96,98,1.2125,3536.82
7663.88,72.23,98,0.0,3536.82
7663.88,72.07,98,0.0,3536.82
7663.88,72.12,98,1.2125,3536.82
7663.88,72.08,98,0.0,3536.82
7663.88,72.08,98,0.0,3536.82
7663.88,72.12,98,1.2125,3536.82
7663.88,72.05,98,0.0,3536.82
7663.88,71.97,97,0.0,3536.82
7663.88,71.87,97,1.2125,3536.82
7663.88,71.93,98,0.0,3536.82
7663.88,71.91,98,0.0,3536.82
7663.88,71.72,98,0.0,3536.82
7663.88,71.48,98,1.2125,3536.82
7663.88,71.62,98,0.0,3536.82
7663.88,72.03,97,0.0,3536.82
7663.88,72.07,97,1.2125,3536.82
7663.88,72.38,98,0.0,3536.82
7663.88,72.31,98,0.0,3536.82
7663.88,70.82,89,2.425,3536.82
7663.88,69.65,89,0.0,3536.82
7663.88,69.71,100,0.0,3536.82
7663.88,69.19,100,1.2125,3536.82
7663.88,69.55,97,0.0,3536.82
7663.88,69.87,97,0.0,3536.82
7663.88,69.97,98,0.0,3536.82
7663.88,70.03,98,1.2125,3536.82
7663.88,70.05,98,0.0,3536.82
7663.88,69.78,98,0.0,3536.82
7663.88,69.85,98,1.2125,3536.82
7663.88,71.37,98,0.0,3536.82
7663.88,71.37,97,0.0,3536.82
7663.88,71.85,97,0.0,3536.82
7663.88,72.35,98,1.2125,3536.82
7663.88,72.21,98,0.0,3536.82
7663.88,71.96,98,1.2125,3536.82
7663.88,71.96,98,0.0,3536.82
7663.88,71.91,98,1.2125,3536.82
7663.88,71.94,98,0.0,3536.82
7663.88,72.24,97,1.2375,3536.82
7663.88,72.22,97,0.0,3536.82
7663.88,72.26,98,0.0,3536.82
7663.88,72.3,98,1.2125,3536.82
7663.88,72.47,98,0.0,3536.82
7663.88,72.48,98,0.0,3536.82
7663.88,72.47,98,0.0,3536.82
7663.88,72.44,98,1.2125,3536.82
7663.88,72.52,98,0.0,3536.82
7663.88,72.19,97,0.0,3536.82
7663.88,72.1,97,0.0,3536.82
7663.88,71.84,98,1.2125,3536.82
7663.88,71.82,98,0.0,3536.82
7663.88,71.8,98,0.0,3536.82
7663.88,72.1,98,1.2125,3536.82
7663.88,72.05,98,0.0,3536.82
7663.88,72.19,98,0.0,3536.82
