gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
2657.88,28.96,0,9.2625,3529.06
2683.88,27.43,0,1.2375,3529.06
2691.88,31.22,43,0.0,3529.06
2699.88,34.85,43,0.0,3529.06
2699.88,35.02,83,0.0,3529.06
2699.88,39.49,83,1.2375,3529.06
2699.88,43.68,76,0.0,3529.06
2699.88,47.85,76,0.0,3529.06
2699.88,52.16,90,0.0,3529.06
2699.88,56.44,90,1.2375,3529.06
2699.88,57.87,89,0.0,3529.06
2699.88,58.98,89,0.0,3529.06
2699.88,69.22,89,0.0,3529.06
2699.88,69.05,89,1.2375,3529.06
2699.88,69.05,90,0.0,3529.06
2699.88,73.1,90,1.2375,3529.19
2699.88,72.25,77,0.0,3529.19
2703.88,72.28,77,1.25,3529.19
2703.88,71.72,100,0.0,3529.19
2703.88,71.76,100,0.0,3529.19
2703.88,71.52,91,1.25,3529.19
2703.88,71.5,91,1.2375,3529.19
2703.88,71.27,89,0.0,3529.19
2703.88,71.43,89,0.0,3529.19
2703.88,71.57,90,0.0,3529.19
2703.88,71.52,90,1.2375,3529.19
2703.88,71.34,90,0.0,3529.19
2703.88,71.67,90,0.0,3529.19
2703.88,71.72,91,0.0,3529.19
2703.88,71.97,91,1.2375,3529.19
2703.88,71.71,92,2.4875,3529.19
2703.88,71.65,92,0.0,3529.19
2703.88,70.97,79,0.0,3529.19
2703.88,71.3,79,0.0,3529.19
2703.88,70.42,91,0.0,3529.19
2703.88,70.14,92,1.2375,3529.19
2703.88,70.77,92,0.0,3529.19
2703.88,71.05,92,0.0,3529.19
2703.88,71.27,91,1.25,3529.19
2703.88,70.94,91,0.0,3529.19
2703.88,71.02,91,0.0,3529.19
2703.88,70.62,84,3.725,3529.19
2703.88,68.03,84,0.0,3529.19
2703.88,68.57,88,0.0,3529.19
2703.88,68.44,88,0.0,3529.19
2703.88,69.26,88,1.2375,3529.19
2703.88,69.71,91,0.0,3529.19
2703.88,69.75,91,0.0,3529.19
2703.88,69.93,91,1.2125,3529.19
2703.88,70.21,91,0.0,3529.19
2703.88,70.39,89,0.0,3529.19
2703.88,70.56,90,0.0,3529.19
2703.88,70.56,90,1.2,3529.31
2703.88,74.15,77,1.2,3529.31
2703.88,73.93,77,1.225,3529.31
2703.88,73.88,93,0.0,3529.31
2703.88,73.64,93,0.0,3529.31
2703.88,73.74,90,0.0,3529.31
2703.88,73.72,90,1.225,3529.31
2703.88,73.55,91,0.0,3529.31
2703.88,73.59,91,0.0,3529.31
