gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
2657.88,28.64,10,10.9375,3527.95
2683.88,28.69,0,0.0,3527.95
2699.88,31.67,0,1.25,3527.95
2699.88,33.87,95,0.0,3527.95
2699.88,35.17,95,0.0,3527.95
2699.88,37.24,88,0.0,3527.95
2699.88,39.17,88,1.2375,3527.95
2699.88,52.11,89,0.0,3527.95
2699.88,55.77,89,0.0,3527.95
2699.88,62.83,89,0.0,3527.95
2699.88,63.4,89,0.0,3527.95
2699.88,66.94,90,1.2375,3527.95
2699.88,70.97,90,0.0,3527.95
2699.88,70.34,90,0.0,3527.95
2699.88,70.38,90,0.0,3527.95
2699.88,71.83,89,2.475,3527.95
2699.88,72.28,89,0.0,3527.95
2703.88,72.21,87,0.0,3527.95
2703.88,72.62,87,0.0,3527.95
2703.88,71.72,97,1.2375,3527.95
2703.88,71.78,97,0.0,3527.95
2703.88,72.21,90,1.25,3527.95
2703.88,72.81,90,0.0,3527.95
2703.88,72.7,91,1.2375,3527.95
2703.88,72.83,91,0.0,3527.95
2703.88,72.76,92,0.0,3527.95
2703.88,72.54,92,1.2125,3527.95
2703.88,72.04,93,0.0,3527.95
2703.88,71.94,93,0.0,3527.95
2703.88,71.7,92,1.2125,3527.95
2703.88,72.25,84,1.2125,3527.95
2703.88,72.93,84,0.0,3527.95
2703.88,72.7,92,0.0,3527.95
2703.88,72.77,92,0.0,3527.95
2703.88,72.71,92,1.225,3527.95
2703.88,73.18,91,0.0,3527.95
2703.88,73.13,91,0.0,3527.95
2703.88,73.03,91,1.225,3527.95
2703.88,72.88,91,0.0,3527.95
2703.88,72.69,91,0.0,3527.95
2703.88,72.67,92,1.2375,3527.95
2703.88,72.68,92,0.0,3527.95
2703.88,72.79,85,1.2125,3527.95
2703.88,72.58,85,0.0,3527.95
2703.88,72.12,91,0.0,3527.95
2703.88,71.99,91,0.0,3527.95
2703.88,72.3,92,1.2125,3527.95
2703.88,72.64,92,0.0,3527.95
2703.88,72.63,91,0.0,3527.95
2703.88,72.84,91,1.1875,3527.95
2703.88,72.76,91,0.0,3527.95
2703.88,72.65,91,1.2125,3527.95
2703.88,71.44,82,0.0,3527.95
2703.88,70.83,82,1.2125,3527.95
2703.88,71.05,94,0.0,3527.95
2703.88,71.45,94,0.0,3527.95
2703.88,71.37,91,1.2125,3527.95
2703.88,71.71,91,0.0,3527.95
2703.88,71.3,91,0.0,3527.95
2703.88,71.21,91,1.225,3527.95
2703.88,71.13,92,0.0,3527.95
2703.88,71.06,92,1.2125,3527.95
2703.88,71.16,91,1.2125,3527.95
2703.88,71.18,91,1.2125,3527.95
2703.88,72.23,86,0.0,3527.95
2703.88,72.38,86,0.0,3527.95
2703.88,72.16,96,1.2125,3527.95
2703.88,72.29,96,0.0,3527.95
2703.88,72.48,92,0.0,3527.95
2703.88,72.56,92,1.2125,3527.95
2703.88,71.35,90,0.0,3527.95
2703.88,71.42,90,0.0,3527.95
2703.88,71.42,89,1.2125,3527.95
2703.88,71.52,89,0.0,3527.95
2703.88,71.13,89,0.0,3527.95
2703.88,70.82,89,1.2125,3527.95
2703.88,72.52,90,1.1375,3527.95
2703.88,72.53,90,1.2375,3527.95
2703.88,72.4,84,0.0,3527.95
2703.88,71.63,84,0.0,3527.95
2703.88,71.79,97,0.0,3527.95
2703.88,72.44,97,0.0,3527.95
2703.88,72.39,89,1.2125,3527.95
2703.88,72.78,91,0.0,3527.95
2703.88,72.45,91,0.0,3527.95
2703.88,72.53,90,1.2125,3527.95
2703.88,72.58,90,0.0,3527.95
2703.88,71.14,90,0.0,3527.95
2703.88,71.01,90,0.0,3527.95
2703.88,70.86,91,1.2125,3527.95
2703.88,71.61,91,1.2125,3527.95
2703.88,74.05,81,1.2125,3527.95
2703.88,73.51,81,0.0,3527.95
2703.88,73.63,92,0.0,3527.95
2703.88,73.41,92,1.2,3527.95
2703.88,73.61,91,0.0,3527.95
2703.88,73.62,91,0.0,3527.95
2703.88,73.65,91,0.0,3527.95
2703.88,73.57,91,1.2125,3527.95
2703.88,73.3,92,1.2375,3527.95
2703.88,73.42,92,0.0,3527.95
2703.88,73.43,91,1.2125,3527.95
2703.88,73.08,91,1.2125,3527.95
2703.88,73.62,88,0.0,3527.95
2703.88,73.37,98,0.0,3527.95
2703.88,72.91,98,0.0,3527.95
2703.88,73.28,92,1.2125,3527.95
2703.88,73.42,92,0.0,3527.95
2703.88,73.46,92,0.0,3527.95
2703.88,73.27,92,1.2125,3527.95
2703.88,73.5,93,0.0,3527.95
2703.88,73.48,93,0.0,3527.95
2703.88,73.5,93,0.0,3527.95
2703.88,71.89,92,1.225,3527.95
2703.88,71.69,92,0.0,3527.95
2703.88,71.69,92,1.2125,3527.95
2703.88,71.53,86,0.0,3527.95
2703.88,71.17,86,1.225,3527.95
2703.88,71.3,91,1.2125,3527.95
2703.88,71.4,91,0.0,3527.95
2703.88,71.56,91,0.0,3527.95
2703.88,71.58,91,1.2125,3527.95
2703.88,71.65,91,0.0,3527.95
2703.88,71.59,91,0.0,3527.95
2703.88,71.09,92,0.0,3527.95
2703.88,71.09,92,1.2125,3527.95
