gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
4803.88,32.39,0,7.3125,3534.09
4821.88,32.39,0,1.2375,3534.09
4829.88,37.38,0,0.0,3534.09
4837.88,40.92,75,0.0,3534.09
4845.88,45.02,75,1.2375,3534.09
4845.88,49.0,100,0.0,3534.09
4845.88,52.25,100,0.0,3534.09
4845.88,56.23,93,1.2375,3534.09
4845.88,60.17,94,0.0,3534.09
4845.88,64.04,94,0.0,3534.09
4845.88,67.63,95,0.0,3534.09
4845.88,73.28,95,1.25,3534.09
4845.88,73.28,95,0.0,3534.09
4845.88,73.17,95,0.0,3534.09
4845.88,72.45,94,0.0,3534.09
4845.88,71.99,94,0.0,3534.09
4845.88,71.7,95,1.25,3534.09
4845.88,72.12,95,0.0,3534.09
4845.88,71.63,95,0.0,3534.09
4845.88,71.65,95,0.0,3534.09
4845.88,71.73,94,0.0,3534.09
4845.88,71.5,94,1.2375,3534.09
4845.88,71.5,96,0.0,3534.09
4845.88,71.56,96,0.0,3534.09
4845.88,72.0,96,0.0,3534.09
4845.88,72.02,96,0.0,3534.09
4845.88,72.07,96,1.25,3534.09
4845.88,69.16,95,1.25,3534.09
4845.88,69.2,89,0.0,3534.09
4845.88,69.19,89,0.0,3534.09
4849.88,68.91,100,0.0,3534.09
4849.88,69.16,100,0.0,3534.09
4849.88,69.77,95,0.0,3534.09
4849.88,69.89,95,1.25,3534.09
4849.88,69.86,95,0.0,3534.09
4849.88,70.12,95,0.0,3534.09
4849.88,70.19,95,0.0,3534.09
4849.88,70.26,96,0.0,3534.09
4849.88,73.13,96,0.0,3534.09
4849.88,73.34,95,1.25,3534.09
4849.88,73.08,95,0.0,3534.09
4849.88,73.01,96,0.0,3534.09
4849.88,73.01,96,0.0,3534.09
4849.88,72.53,96,0.0,3534.09
4849.88,72.22,96,1.2375,3534.09
4849.88,72.26,95,0.0,3534.09
4849.88,72.1,95,1.2125,3534.09
4849.88,72.03,96,0.0,3534.09
4849.88,72.13,96,1.2125,3534.09
4849.88,71.98,96,0.0,3534.09
4849.88,72.16,95,0.0,3534.09
4849.88,72.11,95,1.2125,3534.09
4849.88,71.88,96,0.0,3534.09
4849.88,71.98,96,0.0,3534.09
4849.88,72.43,95,2.425,3534.09
4849.88,71.97,95,0.0,3534.09
