gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
16095.88,37.2,0,3.95,3552.26
16115.88,37.2,0,0.0,3552.26
16115.88,39.14,17,0.0,3552.26
16131.88,41.0,100,1.25,3552.26
16131.88,44.78,100,0.0,3552.26
16147.88,48.68,100,0.0,3552.26
16147.88,52.67,100,0.0,3552.26
16147.88,56.71,100,1.25,3552.26
16163.88,64.48,100,0.0,3552.26
16163.88,68.24,100,0.0,3552.26
16163.88,71.92,100,1.2125,3552.26
16179.88,71.92,100,0.0,3552.26
16179.88,73.16,100,0.0,3552.26
16179.88,72.75,100,1.1875,3552.26
16179.88,72.59,100,0.0,3552.26
16179.88,72.56,89,0.0,3552.26
16179.88,72.42,89,1.2125,3552.26
16179.88,72.39,88,0.0,3552.26
16179.88,72.5,88,0.0,3552.26
16179.88,72.35,98,0.0,3552.26
16179.88,72.68,98,1.2125,3552.26
16179.88,72.82,98,0.0,3552.26
16179.88,72.93,98,0.0,3552.26
16179.88,73.13,97,1.2125,3552.26
16179.88,73.19,97,0.0,3552.26
16179.88,73.23,98,0.0,3552.26
16179.88,73.25,98,1.2125,3552.26
16179.88,73.14,95,0.0,3552.26
16179.88,72.69,95,0.0,3552.26
16179.88,72.72,98,2.425,3552.26
16179.88,72.89,99,0.0,3552.26
16179.88,72.77,99,0.0,3552.26
16179.88,72.75,98,0.0,3552.26
16179.88,72.78,98,1.2125,3552.26
16179.88,72.16,98,0.0,3552.26
16179.88,72.22,98,0.0,3552.26
16179.88,71.89,98,1.2125,3552.26
16179.88,72.11,98,0.0,3552.26
16179.88,72.55,98,0.0,3552.26
16179.88,72.43,98,1.1875,3552.26
16179.88,72.43,98,0.0,3552.26
16179.88,72.41,98,0.0,3552.26
16179.88,71.88,98,0.0,3552.26
16179.88,71.96,98,0.0,3552.26
16179.88,71.65,98,1.2125,3552.26
16179.88,71.57,99,0.0,3552.26
16179.88,71.81,99,0.0,3552.26
16179.88,71.87,96,1.2125,3552.26
16179.88,72.23,96,0.0,3552.26
16179.88,72.29,98,0.0,3552.26
16179.88,72.26,99,1.2125,3552.26
16179.88,71.9,99,0.0,3552.26
16179.88,72.17,99,1.2125,3552.26
16179.88,71.86,99,1.2125,3552.26
16179.88,72.02,99,0.0,3552.26
16179.88,72.06,99,0.0,3552.26
16179.88,72.4,99,0.0,3552.26
16179.88,72.27,99,1.2125,3552.26
16179.88,72.38,99,0.0,3552.26
16179.88,72.21,99,1.2125,3552.26
16179.88,72.03,99,0.0,3552.26
16179.88,72.26,99,0.0,3552.26
16179.88,71.71,98,0.0,3552.26
16179.88,71.71,98,1.2125,3552.26
16179.88,71.68,99,0.0,3552.26
16179.88,71.68,99,0.0,3552.26
16179.88,71.92,96,1.2125,3552.26
16179.88,71.97,96,0.0,3552.26
16179.88,72.2,99,0.0,3552.26
16179.88,72.14,99,1.2125,3552.26
16179.88,72.07,99,0.0,3552.26
16179.88,71.73,99,0.0,3552.26
16179.88,71.79,99,1.2125,3552.26
16179.88,72.05,99,0.0,3552.26
16179.88,72.02,99,0.0,3552.26
16179.88,72.44,99,0.0,3552.26
16179.88,72.41,99,1.2125,3552.26
16179.88,72.07,99,0.0,3552.26
16179.88,72.11,99,0.0,3552.26
16179.88,71.93,99,0.0,3552.26
16179.88,71.78,99,1.2125,3552.26
16179.88,72.08,99,0.0,3552.26
16179.88,71.93,99,0.0,3552.26
16179.88,72.05,99,0.0,3552.26
16179.88,71.8,99,1.2375,3552.26
16179.88,71.8,99,1.2375,3552.26
16179.88,72.26,96,0.0,3552.26
16179.88,72.09,96,0.0,3552.26
16179.88,72.04,99,1.2375,3552.26
16179.88,72.46,99,0.0,3552.26
16179.88,72.36,99,0.0,3552.26
16179.88,72.31,98,1.2375,3552.26
16179.88,72.24,98,0.0,3552.26
16179.88,71.92,99,0.0,3552.26
16179.88,71.97,99,0.0,3552.26
16179.88,69.3,89,2.4875,3552.26
16179.88,69.56,89,0.0,3552.26
16179.88,69.59,94,1.25,3552.26
16179.88,69.99,94,0.0,3552.26
16179.88,69.74,100,0.0,3552.26
16179.88,69.48,100,0.0,3552.26
16179.88,69.56,100,1.25,3552.26
16179.88,69.56,100,0.0,3552.26
16179.88,69.33,100,0.0,3552.26
16179.88,69.8,100,0.0,3552.26
16179.88,69.91,100,0.0,3552.26
16187.88,73.06,100,1.25,3552.26
16187.88,72.76,100,0.0,3552.26
16187.88,72.96,100,0.0,3552.26
16187.88,72.47,100,0.0,3552.26
16187.88,71.97,100,1.25,3552.26
16187.88,72.38,100,0.0,3552.26
16187.88,70.95,100,0.0,3552.26
16187.88,71.36,100,0.0,3552.26
16187.88,71.78,95,1.25,3552.26
16187.88,71.78,95,0.0,3552.26
16187.88,71.87,98,0.0,3552.26
16187.88,71.93,98,0.0,3552.26
16187.88,72.1,98,1.25,3552.26
16187.88,71.27,99,0.0,3552.26
16187.88,71.42,99,0.0,3552.26
16187.88,71.78,99,1.25,3552.26
16187.88,71.42,99,0.0,3552.26
16187.88,72.72,99,0.0,3552.26
16187.88,72.63,99,0.0,3552.26
16187.88,72.58,99,0.0,3552.26
16187.88,72.13,99,1.25,3552.26
16187.88,72.23,99,0.0,3552.26
16187.88,71.8,99,1.25,3552.26
16187.88,71.74,99,0.0,3552.26
16187.88,72.24,99,1.2375,3552.26
16187.88,72.24,99,0.0,3552.26
16187.88,72.25,96,0.0,3552.26
16187.88,72.45,99,0.0,3552.26
16187.88,72.45,99,1.25,3552.26
16187.88,72.59,98,0.0,3552.26
16187.88,72.25,98,0.0,3552.26
16187.88,72.45,99,0.0,3552.26
16187.88,72.33,99,1.25,3552.26
16187.88,72.55,99,0.0,3552.26
16187.88,72.44,99,0.0,3552.26
16187.88,72.34,99,1.25,3552.26
16187.88,72.11,99,0.0,3552.26
16187.88,72.18,99,0.0,3552.26
16187.88,71.97,99,0.0,3552.26
16187.88,72.14,99,1.25,3552.26
16187.88,72.47,99,0.0,3552.26
16187.88,72.28,99,0.0,3552.26
16187.88,72.33,99,0.0,3552.26
16187.88,72.04,99,1.25,3552.26
16187.88,71.94,99,0.0,3552.26
16187.88,71.93,99,0.0,3552.26
16187.88,72.1,98,0.0,3552.26
16187.88,71.83,97,1.25,3552.26
16187.88,71.91,97,0.0,3552.26
16187.88,72.13,99,0.0,3552.26
16187.88,72.13,99,1.25,3552.26
16187.88,72.09,99,0.0,3552.26
