gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
3299.88,28.0,0,8.775,3530.2
3305.88,27.56,6,1.2375,3530.2
3309.88,31.56,6,0.0,3530.2
3311.88,32.42,92,1.2375,3530.2
3311.88,36.33,92,0.0,3530.2
3311.88,40.49,92,0.0,3530.2
3311.88,44.61,92,1.25,3530.2
3311.88,48.39,90,0.0,3530.2
3311.88,52.55,90,0.0,3530.2
3311.88,54.63,91,0.0,3530.2
3311.88,55.72,91,1.2375,3530.2
3311.88,68.16,91,0.0,3530.2
3311.88,68.77,91,0.0,3530.2
3311.88,68.48,91,0.0,3530.2
3311.88,71.32,91,1.2375,3530.2
3311.88,71.39,90,0.0,3530.2
3311.88,71.47,90,0.0,3530.2
3311.88,71.25,91,0.0,3530.2
3311.88,71.7,91,2.4875,3530.2
3311.88,73.37,85,0.0,3530.2
3313.88,72.66,85,0.0,3530.2
3313.88,72.18,97,0.0,3530.2
3313.88,72.26,97,1.2125,3530.2
3313.88,72.3,92,0.0,3530.2
3313.88,72.61,92,0.0,3530.2
3313.88,73.29,93,0.0,3530.2
3313.88,73.22,93,1.2125,3530.2
3313.88,73.25,93,0.0,3530.2
3313.88,73.45,93,0.0,3530.2
3313.88,73.17,93,1.2125,3530.2
3313.88,71.16,93,1.2375,3530.2
3313.88,68.99,85,0.0,3530.2
3313.88,68.53,85,2.425,3530.2
3313.88,68.59,87,0.0,3530.2
3313.88,68.54,87,0.0,3530.2
3313.88,68.68,93,0.0,3530.2
3313.88,68.2,93,1.2125,3530.2
3313.88,68.31,92,0.0,3530.2
3313.88,68.5,92,0.0,3530.2
3313.88,68.89,94,0.0,3530.2
3313.88,68.96,94,2.45,3530.2
3313.88,68.2,79,0.0,3530.2
3313.88,69.66,79,0.0,3530.2
3313.88,70.8,94,0.0,3530.2
3313.88,70.97,94,1.225,3530.2
3313.88,70.98,93,0.0,3530.2
3313.88,70.94,93,0.0,3530.2
3313.88,70.97,92,0.0,3530.2
3313.88,70.94,92,1.225,3530.2
3313.88,70.39,93,1.225,3530.2
3313.88,66.68,93,0.0,3530.2
3313.88,65.44,82,0.0,3530.2
3313.88,66.06,82,0.0,3530.2
3313.88,67.38,93,1.2125,3530.2
3313.88,67.42,93,0.0,3530.2
3313.88,67.56,92,0.0,3530.2
3313.88,68.19,92,0.0,3530.2
3313.88,68.5,94,1.175,3530.2
3313.88,65.47,94,2.3375,3530.2
3313.88,65.4,82,0.0,3530.2
3313.88,68.14,82,1.2375,3530.2
3313.88,69.3,97,0.0,3530.2
3313.88,69.3,97,0.0,3530.2
3313.88,69.63,94,0.0,3530.2
3313.88,69.63,93,1.2125,3530.2
3313.88,69.58,93,0.0,3530.2
3313.88,69.06,94,0.0,3530.2
