gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
21124.38,33.52,0,2.9125,3509.64
21284.38,29.86,0,0.0,3509.64
21284.38,33.63,26,0.0,3509.64
21284.38,37.11,26,1.25,3509.64
21284.38,41.23,93,0.0,3509.64
21284.38,45.34,100,1.2375,3509.64
21284.38,53.51,100,1.25,3509.64
21284.38,57.66,100,0.0,3509.64
21284.38,61.83,100,0.0,3509.64
21284.38,65.5,100,0.0,3509.64
21284.38,69.14,100,1.2375,3509.64
21284.38,69.14,100,0.0,3509.64
21284.38,74.77,100,0.0,3509.64
21284.38,73.1,100,1.2375,3509.64
21284.38,72.98,100,0.0,3509.64
21284.38,72.67,100,1.2375,3509.64
21286.38,72.6,100,0.0,3509.64
21286.38,73.01,100,1.2375,3509.64
21286.38,72.54,83,0.0,3509.64
21286.38,72.39,100,0.0,3509.64
21286.38,72.26,100,1.2375,3509.64
21286.38,72.7,100,0.0,3509.64
21286.38,72.88,100,0.0,3509.64
21286.38,72.89,100,0.0,3509.64
21286.38,72.8,100,1.25,3509.64
21286.38,70.51,92,1.2375,3509.64
21286.38,69.59,92,1.2375,3509.64
21286.38,68.96,100,0.0,3509.64
21286.38,69.44,100,0.0,3509.64
21286.38,69.49,100,1.2375,3509.64
21286.38,69.52,100,0.0,3509.64
21286.38,69.14,100,1.2375,3509.64
21286.38,69.14,100,1.2375,3509.64
21286.38,69.11,100,0.0,3509.64
21286.38,69.12,100,0.0,3509.64
21286.38,69.24,100,2.475,3509.64
21286.38,69.08,100,0.0,3509.64
21286.38,73.47,100,0.0,3509.64
21286.38,73.87,91,1.2375,3509.64
21286.38,73.91,100,0.0,3509.64
21286.38,74.04,100,0.0,3509.64
21286.38,74.17,100,0.0,3509.64
21286.38,74.06,100,1.2375,3509.64
21286.38,74.06,100,0.0,3509.64
21286.38,74.09,100,0.0,3509.64
21286.38,74.14,100,1.2125,3509.64
21286.38,74.18,100,0.0,3509.64
21286.38,71.47,97,2.425,3509.64
21286.38,70.99,97,0.0,3509.64
21286.38,70.96,93,0.0,3509.64
21286.38,70.92,93,1.2125,3509.64
21286.38,70.8,93,0.0,3509.64
21286.38,70.81,100,1.1125,3509.64
21286.38,69.5,96,1.1875,3509.64
21286.38,69.04,96,0.0,3509.64
21286.38,68.96,92,1.2375,3509.64
21286.38,69.03,92,0.0,3509.64
21286.38,69.12,92,0.0,3509.64
21286.38,69.81,97,2.425,3509.64
21286.38,69.81,97,0.0,3509.64
21286.38,69.07,97,0.0,3509.64
21286.38,69.18,95,0.0,3509.64
21286.38,68.93,95,1.2125,3509.64
21286.38,68.91,100,0.0,3509.64
21286.38,70.09,100,1.2125,3509.64
21286.38,70.69,100,0.0,3509.64
21286.38,70.9,100,0.0,3509.64
21286.38,70.83,100,1.2125,3509.64
21286.38,70.8,100,0.0,3509.64
21286.38,70.97,100,0.0,3509.64
21286.38,71.38,100,1.2125,3509.64
21286.38,71.77,100,1.2125,3509.64
21286.38,72.0,100,0.0,3509.64
21286.38,70.07,100,1.2125,3509.64
21286.38,69.6,93,1.2125,3509.64
21286.38,69.64,93,0.0,3509.64
21286.38,69.66,100,0.0,3509.64
21286.38,69.89,100,1.225,3509.64
21286.38,69.98,100,1.225,3509.64
21286.38,71.88,100,0.0,3509.64
21286.38,71.21,90,0.0,3509.64
21286.38,71.35,90,1.2125,3509.64
21286.38,71.42,100,0.0,3509.64
21286.38,71.46,100,1.2125,3509.64
21286.38,73.14,100,0.0,3509.64
21286.38,73.77,100,0.0,3509.64
21286.38,73.77,100,2.425,3509.64
21286.38,73.77,100,0.0,3509.64
21286.38,75.31,93,0.0,3509.64
21286.38,74.84,93,0.0,3509.64
21286.38,72.88,100,1.2125,3509.64
21286.38,73.88,100,0.0,3509.64
21286.38,73.89,100,0.0,3509.64
21286.38,73.64,100,1.2125,3509.64
21286.38,73.65,100,0.0,3509.64
21286.38,73.82,100,1.2125,3509.64
21286.38,73.83,100,1.2125,3509.64
21286.38,73.62,100,0.0,3509.64
21286.38,71.96,100,0.0,3509.64
21286.38,72.34,100,0.0,3509.64
21286.38,72.19,100,2.425,3509.64
21286.38,71.37,93,0.0,3509.64
21286.38,71.43,93,0.0,3509.64
21286.38,71.43,93,1.2125,3509.64
21286.38,71.58,100,0.0,3509.64
21286.38,71.53,100,1.175,3509.64
21286.38,71.53,100,1.225,3509.64
21286.38,73.01,100,0.0,3509.64
21286.38,72.86,92,0.0,3509.64
21286.38,73.1,92,0.0,3509.64
21286.38,73.22,100,0.0,3509.64
21286.38,73.15,100,1.2125,3509.64
21286.38,73.19,100,0.0,3509.64
21286.38,73.88,100,2.4125,3509.64
21286.38,73.82,100,0.0,3509.64
21286.38,74.13,91,1.2125,3509.64
21286.38,74.15,91,0.0,3509.64
21286.38,72.77,100,1.2,3509.64
21286.38,73.26,100,0.0,3509.64
21286.38,73.24,100,0.0,3509.64
21286.38,73.18,100,1.2,3509.64
21286.38,73.09,100,0.0,3509.64
21286.38,73.14,100,1.2125,3509.64
21286.38,73.22,100,0.0,3509.64
21286.38,72.88,100,0.0,3509.64
21286.38,71.74,100,0.0,3509.64
21286.38,72.22,100,1.2125,3509.64
21286.38,72.28,100,1.2125,3509.64
21286.38,72.17,100,0.0,3509.64
21286.38,72.18,91,1.2125,3509.64
21286.38,71.5,91,0.0,3509.64
21286.38,72.03,99,0.0,3509.64
21286.38,72.16,99,1.225,3509.64
21286.38,72.16,100,0.0,3509.64
21286.38,71.93,100,0.0,3509.64
21286.38,72.06,100,0.0,3509.64
21286.38,72.12,100,1.225,3509.64
21286.38,72.1,100,0.0,3509.64
21286.38,72.34,100,0.0,3509.64
21286.38,72.22,100,1.225,3509.64
21286.38,71.89,100,0.0,3509.64
21286.38,72.48,100,0.0,3509.64
21286.38,72.2,100,1.225,3509.64
21286.38,71.22,100,0.0,3509.64
21286.38,71.32,93,1.2,3509.64
21286.38,71.43,93,0.0,3509.64
21286.38,71.58,100,1.2,3509.64
21286.38,71.63,100,0.0,3509.64
21286.38,71.31,100,1.2125,3509.64
21286.38,71.56,100,0.0,3509.64
21286.38,71.81,100,1.2125,3509.64
21286.38,71.71,100,0.0,3509.64
21286.38,71.71,100,0.0,3509.64
21286.38,71.52,100,1.2125,3509.64
21286.38,72.04,100,0.0,3509.64
21286.38,72.08,100,0.0,3509.64
21286.38,72.02,100,2.4125,3509.64
21286.38,71.07,100,0.0,3509.64
21286.38,71.13,92,0.0,3509.64
21286.38,71.38,92,1.2125,3509.64
21286.38,71.5,100,0.0,3509.64
21286.38,71.35,100,0.0,3509.64
21286.38,71.34,100,2.4125,3509.64
21286.38,72.12,100,0.0,3509.64
21286.38,72.09,89,0.0,3509.64
21286.38,72.42,100,1.2125,3509.64
21286.38,72.37,100,0.0,3509.64
21286.38,73.14,100,0.0,3509.64
21286.38,73.21,100,1.2125,3509.64
21286.38,73.24,100,0.0,3509.64
21286.38,73.0,100,0.0,3509.64
21286.38,73.0,100,1.2125,3509.64
21286.38,72.96,100,0.0,3509.64
21286.38,72.87,100,0.0,3509.64
21286.38,72.14,100,0.0,3509.64
21286.38,72.37,100,3.6,3509.64
21286.38,72.04,100,0.0,3509.64
21286.38,74.16,100,1.2125,3509.64
21286.38,74.02,89,0.0,3509.64
21286.38,74.36,100,0.0,3509.64
21286.38,74.57,100,0.0,3509.64
21286.38,74.62,100,1.2,3509.64
21286.38,74.52,100,0.0,3509.64
21286.38,74.62,100,0.0,3509.64
21286.38,74.7,100,1.2125,3509.64
21286.38,74.53,100,0.0,3509.64
21286.38,74.42,100,0.0,3509.64
21286.38,72.07,100,1.2125,3509.64
21286.38,72.53,100,0.0,3509.64
21286.38,72.41,100,2.4125,3509.64
21286.38,73.3,100,0.0,3509.64
21286.38,72.18,89,0.0,3509.64
21286.38,72.35,89,1.2125,3509.64
21286.38,72.62,100,0.0,3509.64
21286.38,72.7,100,0.0,3509.64
21286.38,72.76,100,0.0,3509.64
21286.38,72.98,100,1.2125,3509.64
21286.38,73.15,100,0.0,3509.64
21286.38,72.92,100,0.0,3509.64
21286.38,72.71,100,1.2125,3509.64
21286.38,71.49,100,0.0,3509.64
21286.38,72.42,100,0.0,3509.64
21286.38,72.46,100,0.0,3509.64
21286.38,72.46,100,2.4,3509.64
21286.38,72.17,100,1.2,3509.64
21286.38,74.33,84,1.175,3509.64
21286.38,74.17,84,0.0,3509.64
21286.38,74.54,100,1.2125,3509.64
21286.38,74.75,100,0.0,3509.64
21286.38,74.88,100,0.0,3509.64
21286.38,74.95,100,1.2125,3509.64
21286.38,74.91,100,0.0,3509.64
21286.38,75.09,100,0.0,3509.64
21286.38,74.86,100,0.0,3509.64
21286.38,74.73,100,2.275,3509.64
21286.38,72.44,100,0.0,3509.64
21286.38,72.68,100,0.0,3509.64
21286.38,72.59,100,2.4125,3509.64
21286.38,73.47,88,0.0,3509.64
21286.38,72.68,88,1.2125,3509.64
21286.38,72.86,100,0.0,3509.64
21286.38,73.2,100,0.0,3509.64
21286.38,73.29,100,0.0,3509.64
21286.38,72.98,100,2.4375,3509.64
21286.38,72.98,100,0.0,3509.64
21286.38,73.17,100,0.0,3509.64
21286.38,73.21,100,0.0,3509.64
21286.38,72.79,100,1.1375,3509.64
21286.38,71.61,100,0.0,3509.64
21286.38,71.61,100,1.225,3509.64
21286.38,72.26,100,0.0,3509.64
21286.38,69.81,100,1.225,3509.64
21286.38,69.81,94,1.2125,3509.64
21286.38,68.91,94,0.0,3509.64
21286.38,69.2,95,0.0,3509.64
21286.38,69.45,95,1.2125,3509.64
21286.38,69.47,100,0.0,3509.64
21286.38,69.33,100,0.0,3509.64
21286.38,69.3,100,0.0,3509.64
21286.38,69.63,100,1.2375,3509.64
21286.38,69.44,100,0.0,3509.64
21286.38,69.27,100,1.1375,3509.64
21286.38,71.3,100,1.2375,3509.64
21286.38,72.1,100,0.0,3509.64
21286.38,72.12,100,0.0,3509.64
21286.38,71.87,100,2.425,3509.64
21286.38,71.11,100,1.2125,3509.64
21286.38,71.28,89,0.0,3509.64
21286.38,71.39,89,0.0,3509.64
21286.38,71.53,100,1.2,3509.64
21286.38,71.41,100,0.0,3509.64
21286.38,71.48,100,1.2125,3509.64
21286.38,71.99,100,1.2125,3509.64
21286.38,71.83,95,0.0,3509.64
21286.38,71.81,95,0.0,3509.64
21286.38,71.64,100,1.2,3509.64
21286.38,71.57,100,1.225,3509.64
21286.38,72.53,86,0.0,3509.64
21286.38,72.1,86,1.225,3509.64
