gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
20660.38,33.73,0,2.8375,3333.3
20808.38,33.73,0,0.0,3333.3
20810.38,34.2,36,0.0,3333.3
20810.38,38.16,36,1.2375,3333.3
20810.38,41.74,99,0.0,3333.3
20810.38,45.81,99,0.0,3333.3
20810.38,49.81,100,1.2375,3333.3
20810.38,53.84,100,0.0,3333.3
20810.38,61.88,100,0.0,3333.3
20810.38,61.88,100,0.0,3333.3
20810.38,65.58,100,1.2375,3333.3
20810.38,69.22,100,0.0,3333.3
20810.38,72.94,100,0.0,3333.3
20810.38,72.27,100,0.0,3333.3
20810.38,71.89,100,1.2375,3333.3
20810.38,72.19,100,0.0,3333.3
20810.38,72.15,100,0.0,3333.3
20810.38,72.15,100,1.25,3333.3
20810.38,72.15,100,0.0,3333.3
20810.38,72.06,100,0.0,3333.3
20810.38,71.75,100,1.2375,3333.3
20810.38,71.75,100,1.2375,3333.3
20810.38,71.76,100,2.4125,3333.3
20810.38,71.78,100,0.0,3333.3
20810.38,73.1,89,0.0,3333.3
20810.38,73.05,89,1.25,3333.3
20810.38,72.41,100,0.0,3333.3
20810.38,72.41,100,0.0,3333.3
20810.38,72.46,100,0.0,3333.3
20810.38,72.59,100,1.2375,3333.3
20810.38,72.59,100,0.0,3333.3
20810.38,72.8,100,0.0,3333.3
20810.38,72.76,100,0.0,3333.3
20810.38,72.87,100,1.2375,3333.3
20810.38,72.89,100,0.0,3333.3
20810.38,71.6,100,0.0,3333.3
20810.38,71.58,100,1.2375,3333.3
20810.38,72.13,100,0.0,3333.3
20810.38,72.14,100,0.0,3333.3
20810.38,72.11,100,1.2125,3333.3
20810.38,71.88,100,0.0,3333.3
20810.38,71.88,100,0.0,3333.3
20810.38,71.72,100,0.0,3333.3
20810.38,71.86,100,1.2125,3333.3
20810.38,71.86,100,0.0,3333.3
20810.38,71.7,100,2.4375,3333.3
20810.38,69.38,93,1.2125,3333.3
20810.38,68.45,99,0.0,3333.3
20810.38,68.49,99,0.0,3333.3
20810.38,68.47,100,1.2125,3333.3
20810.38,68.55,100,1.2125,3333.3
20810.38,68.78,100,0.0,3333.3
20810.38,68.87,100,0.0,3333.3
20810.38,68.85,100,1.2125,3333.3
20810.38,68.77,100,0.0,3333.3
20810.38,68.83,100,0.0,3333.3
20810.38,71.13,100,1.2,3333.3
20810.38,72.13,100,0.0,3333.3
20810.38,72.2,100,0.0,3333.3
20810.38,72.19,100,1.2125,3333.3
20810.38,72.19,100,0.0,3333.3
20810.38,71.85,100,0.0,3333.3
20810.38,71.77,100,0.0,3333.3
20810.38,71.77,100,1.2125,3333.3
20810.38,71.75,100,1.175,3333.3
20810.38,71.75,100,1.175,3333.3
20810.38,73.28,100,1.175,3333.3
20810.38,72.69,92,0.0,3333.3
20810.38,72.99,92,1.2125,3333.3
20810.38,73.23,100,0.0,3333.3
20810.38,73.22,100,0.0,3333.3
20810.38,73.16,100,1.2125,3333.3
20810.38,73.1,100,0.0,3333.3
20810.38,73.06,100,0.0,3333.3
20810.38,73.12,100,1.2125,3333.3
20810.38,73.06,100,0.0,3333.3
20810.38,71.84,100,0.0,3333.3
20810.38,72.32,100,1.2125,3333.3
20810.38,72.33,100,0.0,3333.3
20810.38,72.31,100,0.0,3333.3
20810.38,72.22,100,1.225,3333.3
20810.38,72.2,100,0.0,3333.3
20810.38,72.08,100,0.0,3333.3
20810.38,72.04,100,2.4125,3333.3
20810.38,71.07,91,0.0,3333.3
20810.38,70.1,91,1.2125,3333.3
20810.38,70.06,100,0.0,3333.3
20810.38,70.39,100,0.0,3333.3
20810.38,70.59,100,0.0,3333.3
20810.38,70.61,100,1.225,3333.3
20810.38,70.47,100,0.0,3333.3
20810.38,70.18,100,0.0,3333.3
20810.38,70.1,100,1.2125,3333.3
20810.38,70.11,100,0.0,3333.3
20810.38,70.11,100,0.0,3333.3
20810.38,71.0,100,1.2125,3333.3
20810.38,71.93,100,0.0,3333.3
20810.38,72.16,100,0.0,3333.3
20810.38,72.25,100,1.2125,3333.3
20810.38,72.23,100,0.0,3333.3
20810.38,72.09,100,1.2125,3333.3
20810.38,72.02,100,0.0,3333.3
20810.38,71.98,100,0.0,3333.3
20810.38,72.01,100,2.4125,3333.3
20810.38,72.04,100,0.0,3333.3
20814.38,72.71,100,1.2125,3333.3
20814.38,70.13,81,0.0,3333.3
20814.38,70.37,81,0.0,3333.3
20814.38,70.55,100,0.0,3333.3
20814.38,70.61,100,1.2125,3333.3
20814.38,70.73,100,0.0,3333.3
20814.38,70.76,100,0.0,3333.3
20814.38,70.75,100,1.2125,3333.3
20814.38,70.73,100,0.0,3333.3
20814.38,70.66,100,0.0,3333.3
20814.38,69.82,100,0.0,3333.3
20814.38,72.43,100,2.4375,3333.3
20814.38,72.28,100,0.0,3333.3
20814.38,72.28,100,0.0,3333.3
20814.38,72.19,100,1.2125,3333.3
20814.38,72.14,100,0.0,3333.3
20814.38,71.96,100,0.0,3333.3
20814.38,71.85,100,0.0,3333.3
20814.38,71.88,100,1.2125,3333.3
20814.38,71.88,100,0.0,3333.3
20814.38,73.08,100,2.4,3333.3
20814.38,73.08,100,0.0,3333.3
20814.38,72.47,89,1.2125,3333.3
20814.38,72.47,89,0.0,3333.3
20814.38,72.49,100,0.0,3333.3
20814.38,72.58,100,0.0,3333.3
20814.38,72.58,100,0.0,3333.3
20814.38,72.87,100,1.225,3333.3
20814.38,72.94,100,0.0,3333.3
20814.38,72.89,100,0.0,3333.3
20814.38,73.04,100,0.0,3333.3
20814.38,73.17,100,0.0,3333.3
20814.38,71.93,100,0.0,3333.3
20814.38,71.94,100,1.225,3333.3
20814.38,72.5,100,1.225,3333.3
20814.38,72.35,100,0.0,3333.3
20814.38,72.3,100,0.0,3333.3
20814.38,72.19,100,0.0,3333.3
20814.38,72.02,100,1.225,3333.3
20814.38,72.0,100,0.0,3333.3
20814.38,71.85,100,0.0,3333.3
20814.38,71.83,100,0.0,3333.3
20814.38,69.39,100,2.425,3333.3
20814.38,68.45,91,0.0,3333.3
