gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
20656.38,39.68,0,2.4625,3325.71
20862.38,39.68,0,0.0,3325.71
20862.38,40.66,29,1.2375,3325.71
20862.38,40.73,29,0.0,3325.71
20864.38,42.75,100,0.0,3325.71
20864.38,46.92,100,0.0,3325.71
20864.38,50.27,99,1.2375,3325.71
20864.38,54.32,100,0.0,3325.71
20864.38,58.45,100,0.0,3325.71
20864.38,62.53,100,1.2375,3325.71
20864.38,70.08,100,0.0,3325.71
20864.38,73.75,100,0.0,3325.71
20864.38,73.75,100,1.25,3325.71
20864.38,72.58,100,0.0,3325.71
20864.38,72.45,100,0.0,3325.71
20864.38,71.99,100,0.0,3325.71
20864.38,73.55,100,1.2375,3325.71
20864.38,72.28,100,0.0,3325.71
20864.38,72.4,100,0.0,3325.71
20864.38,72.25,100,1.2375,3325.71
20864.38,72.0,100,0.0,3325.71
20864.38,71.91,100,0.0,3325.71
20864.38,71.91,100,0.0,3325.71
20864.38,72.01,100,1.2375,3325.71
20864.38,71.88,100,0.0,3325.71
20864.38,72.07,100,0.0,3325.71
20864.38,72.34,100,1.2375,3325.71
20864.38,72.45,100,0.0,3325.71
20864.38,72.27,100,0.0,3325.71
20864.38,72.27,100,1.25,3325.71
20864.38,72.1,100,0.0,3325.71
20864.38,72.02,100,0.0,3325.71
20864.38,72.02,100,1.2375,3325.71
20864.38,72.03,100,0.0,3325.71
20864.38,72.01,100,0.0,3325.71
20864.38,71.99,100,0.0,3325.71
20864.38,72.29,100,1.2125,3325.71
20864.38,72.26,100,1.2125,3325.71
20864.38,72.03,100,0.0,3325.71
20864.38,71.91,100,0.0,3325.71
20864.38,71.84,100,1.2125,3325.71
20864.38,71.82,100,0.0,3325.71
20864.38,71.83,100,0.0,3325.71
20864.38,71.83,100,1.2125,3325.71
20864.38,71.84,100,0.0,3325.71
20864.38,71.91,100,0.0,3325.71
20864.38,72.16,100,1.2125,3325.71
20864.38,72.1,100,0.0,3325.71
20864.38,71.91,100,1.225,3325.71
20864.38,72.55,99,1.225,3325.71
20864.38,72.28,99,0.0,3325.71
20864.38,72.12,100,0.0,3325.71
20864.38,72.13,100,0.0,3325.71
20864.38,72.03,100,0.0,3325.71
20864.38,71.25,100,1.2375,3325.71
20864.38,71.11,100,0.0,3325.71
20864.38,71.22,100,0.0,3325.71
20864.38,71.16,100,0.0,3325.71
20864.38,71.16,100,1.2125,3325.71
20864.38,71.49,100,0.0,3325.71
20864.38,71.09,100,0.0,3325.71
20864.38,71.59,100,0.0,3325.71
20864.38,71.85,100,1.225,3325.71
20864.38,71.8,100,0.0,3325.71
20864.38,71.9,100,1.2125,3325.71
20864.38,72.61,100,0.0,3325.71
20864.38,72.64,100,1.2125,3325.71
20864.38,72.33,100,0.0,3325.71
20864.38,72.37,100,0.0,3325.71
20864.38,72.36,100,1.2125,3325.71
20864.38,72.3,100,0.0,3325.71
20864.38,72.07,100,0.0,3325.71
20864.38,71.9,100,0.0,3325.71
20864.38,71.9,100,1.2125,3325.71
20864.38,71.9,100,0.0,3325.71
20864.38,71.84,100,0.0,3325.71
20864.38,71.84,100,0.0,3325.71
20864.38,71.96,100,0.0,3325.71
20864.38,72.2,100,0.0,3325.71
20864.38,72.27,100,1.225,3325.71
20864.38,72.17,100,0.0,3325.71
20864.38,71.92,100,0.0,3325.71
20864.38,71.81,100,1.225,3325.71
20864.38,71.91,100,0.0,3325.71
20864.38,71.92,100,0.0,3325.71
20864.38,71.94,100,1.2375,3325.71
20864.38,72.12,100,0.0,3325.71
20864.38,72.26,100,1.2,3325.71
20864.38,72.27,100,0.0,3325.71
20864.38,72.31,100,0.0,3325.71
20864.38,72.31,100,0.0,3325.71
20864.38,72.14,100,1.2125,3325.71
20864.38,72.03,100,0.0,3325.71
20864.38,71.99,100,0.0,3325.71
20864.38,71.95,100,1.225,3325.71
20864.38,71.98,100,0.0,3325.71
20864.38,72.1,100,1.1,3325.71
20864.38,72.23,100,1.2,3325.71
20864.38,72.28,98,1.2125,3325.71
20864.38,72.07,98,0.0,3325.71
20864.38,71.58,100,0.0,3325.71
20864.38,71.73,100,1.2125,3325.71
20864.38,71.83,100,0.0,3325.71
20864.38,71.91,100,0.0,3325.71
20864.38,71.89,100,1.2125,3325.71
20864.38,71.97,100,0.0,3325.71
20864.38,72.18,100,0.0,3325.71
20864.38,72.48,100,1.2125,3325.71
20864.38,72.51,100,0.0,3325.71
20864.38,72.28,100,0.0,3325.71
20864.38,72.54,100,0.0,3325.71
20864.38,72.35,100,1.2125,3325.71
20864.38,72.29,100,0.0,3325.71
20864.38,72.22,100,0.0,3325.71
20864.38,72.32,100,1.2125,3325.71
20864.38,72.51,100,0.0,3325.71
20864.38,72.51,100,1.2125,3325.71
20864.38,72.58,100,1.2,3325.71
20864.38,72.3,100,0.0,3325.71
20864.38,72.12,100,0.0,3325.71
20864.38,72.2,100,1.2125,3325.71
20864.38,72.18,100,0.0,3325.71
20864.38,72.06,100,0.0,3325.71
20864.38,72.01,100,1.2125,3325.71
20864.38,72.01,100,0.0,3325.71
20864.38,72.19,100,0.0,3325.71
20864.38,72.19,100,0.0,3325.71
20864.38,71.88,100,1.2125,3325.71
20864.38,71.91,100,0.0,3325.71
20864.38,71.88,100,0.0,3325.71
20864.38,71.88,100,1.2125,3325.71
20864.38,71.89,100,0.0,3325.71
20864.38,71.86,100,0.0,3325.71
20864.38,71.89,100,0.0,3325.71
20864.38,71.92,100,1.1875,3325.71
20864.38,72.05,100,0.0,3325.71
20864.38,71.93,100,0.0,3325.71
20864.38,71.96,100,1.2125,3325.71
20864.38,71.96,100,0.0,3325.71
20864.38,71.93,100,0.0,3325.71
20864.38,71.92,100,2.375,3325.71
20864.38,71.95,100,1.2,3325.71
20864.38,73.39,100,0.0,3325.71
20864.38,73.11,99,1.2375,3325.71
20864.38,72.38,99,0.0,3325.71
20864.38,72.5,100,0.0,3325.71
20864.38,72.63,100,0.0,3325.71
20864.38,72.75,100,0.0,3325.71
20864.38,72.75,100,1.225,3325.71
20864.38,72.77,100,0.0,3325.71
20864.38,73.01,100,0.0,3325.71
20864.38,73.04,100,0.0,3325.71
20864.38,71.46,100,0.0,3325.71
20864.38,71.6,100,0.0,3325.71
20864.38,71.6,100,1.225,3325.71
20864.38,72.31,100,0.0,3325.71
20864.38,72.32,100,0.0,3325.71
20864.38,72.08,100,0.0,3325.71
20864.38,72.11,100,0.0,3325.71
20864.38,72.11,100,0.0,3325.71
20864.38,72.22,100,1.2375,3325.71
20864.38,72.05,100,0.0,3325.71
20864.38,71.87,100,0.0,3325.71
20864.38,71.94,100,0.0,3325.71
20864.38,72.08,100,1.2125,3325.71
20864.38,72.14,100,0.0,3325.71
