gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
18417.88,33.73,0,4.125,3279.8
18699.88,30.27,0,0.0,3279.8
18699.88,33.89,0,1.2375,3279.8
18699.88,37.72,96,0.0,3279.8
18699.88,40.27,96,0.0,3279.8
18699.88,44.13,93,1.2375,3279.8
18699.88,48.23,93,0.0,3279.8
18699.88,51.69,92,0.0,3279.8
18699.88,55.65,92,0.0,3279.8
18699.88,59.76,94,1.2375,3279.8
18699.88,63.15,94,0.0,3279.93
18699.88,67.06,91,0.0,3279.93
18699.88,71.45,91,1.25,3279.93
18699.88,71.32,89,0.0,3279.93
18699.88,71.04,89,0.0,3279.93
18699.88,72.52,94,1.2125,3279.93
18699.88,72.31,94,0.0,3279.93
18699.88,72.13,93,0.0,3279.93
18699.88,72.87,93,1.225,3279.93
18699.88,72.85,91,0.0,3279.93
18699.88,72.49,91,0.0,3279.93
18699.88,73.2,93,1.2,3279.93
18699.88,73.08,93,0.0,3279.93
18699.88,72.51,91,0.0,3279.93
18699.88,72.65,91,0.0,3279.93
18699.88,73.02,93,1.225,3279.93
18699.88,72.74,93,0.0,3279.93
18699.88,73.25,94,0.0,3279.93
18699.88,72.97,94,2.4375,3279.93
18699.88,72.55,93,0.0,3279.93
18699.88,72.64,93,0.0,3279.93
18699.88,72.4,93,1.2125,3279.93
18699.88,72.08,93,0.0,3279.93
18699.88,72.25,92,0.0,3279.93
18699.88,71.95,92,0.0,3279.93
18699.88,71.78,91,0.0,3279.93
18699.88,71.9,91,1.2125,3279.93
18699.88,71.76,93,0.0,3279.93
18699.88,71.45,94,0.0,3279.93
18699.88,71.9,94,1.2375,3279.93
18699.88,71.63,94,1.175,3279.93
18819.88,71.23,94,0.0,3279.93
18819.88,67.95,77,1.25,3279.93
18819.88,67.94,77,0.0,3279.93
18819.88,68.52,100,0.0,3279.93
18819.88,68.53,100,0.0,3279.93
18819.88,68.23,90,1.25,3279.93
18819.88,68.36,90,0.0,3279.93
18819.88,68.8,92,0.0,3279.93
18819.88,68.87,92,0.0,3279.93
18819.88,69.09,93,1.25,3279.93
18819.88,69.59,93,0.0,3279.93
18819.88,73.62,92,1.25,3279.93
18819.88,73.42,92,0.0,3279.93
18819.88,73.47,94,1.25,3279.93
18819.88,72.95,94,0.0,3279.93
18819.88,72.87,93,0.0,3279.93
18819.88,73.18,93,1.25,3279.93
18819.88,73.03,93,0.0,3279.93
18819.88,72.58,93,0.0,3279.93
18819.88,72.44,94,0.0,3279.93
18819.88,72.07,94,1.25,3279.93
18819.88,71.77,94,0.0,3279.93
18819.88,71.38,93,0.0,3279.93
18819.88,71.38,93,0.0,3279.93
18819.88,70.79,93,1.25,3279.93
18819.88,71.3,94,0.0,3279.93
18819.88,70.54,94,0.0,3279.93
18819.88,70.4,91,0.0,3279.93
18819.88,70.99,91,1.25,3279.93
18819.88,70.99,92,0.0,3279.93
18819.88,70.93,92,0.0,3279.93
18819.88,71.62,92,1.2375,3279.93
18819.88,71.55,92,0.0,3279.93
18819.88,70.98,93,0.0,3279.93
