gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
16183.88,30.91,0,3.45,3328.89
16281.88,30.91,0,1.2375,3328.89
16281.88,35.58,6,0.0,3328.89
16281.88,38.5,88,0.0,3328.89
16281.88,41.69,88,1.2375,3328.89
16281.88,44.79,79,0.0,3328.89
16281.88,47.99,79,0.0,3328.89
16281.88,51.12,82,1.2375,3328.89
16281.88,54.29,82,0.0,3328.89
16281.88,54.29,82,0.0,3328.89
16281.88,57.69,80,0.0,3328.89
16281.88,60.79,80,1.25,3328.89
16281.88,63.8,79,0.0,3328.89
16281.88,63.57,79,0.0,3328.89
16281.88,65.31,80,0.0,3328.89
16281.88,65.28,80,1.2375,3328.89
16329.88,65.56,80,1.2375,3329.02
16329.88,67.13,72,1.25,3329.02
16329.88,65.83,72,0.0,3329.02
16329.88,65.92,87,0.0,3329.02
16329.88,66.0,87,1.25,3329.02
16329.88,66.06,81,1.2375,3329.02
16329.88,66.53,81,0.0,3329.02
16329.88,66.53,81,0.0,3329.02
16329.88,66.62,80,0.0,3329.02
16329.88,66.46,80,1.25,3329.02
16329.88,65.8,80,0.0,3329.02
16329.88,65.89,82,0.0,3329.02
16329.88,64.54,82,0.0,3329.02
16329.88,66.1,81,1.25,3329.02
16329.88,65.92,81,0.0,3329.02
16329.88,65.67,82,0.0,3329.02
16331.88,64.05,82,2.4375,3329.02
16331.88,62.67,70,0.0,3329.02
16331.88,62.28,70,1.225,3329.02
16331.88,62.12,80,0.0,3329.02
16331.88,62.28,80,0.0,3329.02
16331.88,62.1,81,0.0,3329.02
16331.88,62.08,81,1.2125,3329.02
16331.88,61.83,82,0.0,3329.02
16331.88,61.61,82,0.0,3329.02
16331.88,61.61,82,0.0,3329.02
16331.88,61.22,81,1.225,3329.02
16331.88,62.72,80,0.0,3329.02
16331.88,63.95,80,0.0,3329.02
16331.88,64.36,82,2.4375,3329.02
16331.88,62.27,82,0.0,3329.02
16331.88,61.38,68,1.225,3329.02
16331.88,61.05,68,0.0,3329.02
16331.88,60.91,83,0.0,3329.02
16331.88,60.77,83,0.0,3329.02
16331.88,60.8,82,2.4125,3329.02
16331.88,61.28,82,0.0,3329.02
16331.88,61.26,83,0.0,3329.02
16331.88,61.09,83,1.2125,3329.02
16331.88,60.87,81,0.0,3329.02
16331.88,60.98,81,1.2,3329.02
16331.88,64.22,81,0.0,3329.02
16331.88,64.26,79,0.0,3329.02
16331.88,61.96,79,2.425,3329.02
16331.88,58.82,53,0.0,3329.02
16331.88,58.18,53,0.0,3329.02
16331.88,58.05,49,1.2125,3329.02
16331.88,57.94,49,0.0,3329.02
16331.88,58.09,81,0.0,3329.02
16331.88,57.81,81,1.2125,3329.02
16331.88,57.57,81,0.0,3329.02
16331.88,57.53,81,0.0,3329.02
16331.88,57.71,83,0.0,3329.02
16331.88,57.59,83,1.2125,3329.02
16331.88,60.06,80,0.0,3329.02
16331.88,63.45,80,0.0,3329.02
16331.88,63.98,82,1.2125,3329.02
16331.88,64.11,82,0.0,3329.02
16331.88,63.47,77,2.425,3329.02
16331.88,67.96,77,0.0,3329.02
16331.88,67.38,77,0.0,3329.02
16331.88,67.48,77,1.225,3329.02
16331.88,67.48,82,1.225,3329.02
16331.88,67.62,82,0.0,3329.02
16331.88,67.75,82,0.0,3329.02
16331.88,67.71,80,0.0,3329.02
16331.88,67.97,80,0.0,3329.02
16331.88,68.2,81,1.2125,3329.02
16331.88,69.07,81,0.0,3329.02
16331.88,65.22,81,1.2,3329.02
16331.88,65.61,81,0.0,3329.02
16331.88,65.51,81,0.0,3329.02
16331.88,64.5,80,2.425,3329.02
16331.88,65.8,80,0.0,3329.02
16331.88,64.98,74,0.0,3329.02
16331.88,64.86,74,1.2125,3329.02
16331.88,64.85,85,0.0,3329.02
16331.88,64.7,85,0.0,3329.02
16331.88,64.68,82,2.425,3329.02
16331.88,64.88,82,0.0,3329.02
16331.88,64.88,82,0.0,3329.02
16331.88,65.05,82,1.2125,3329.02
16331.88,65.14,81,0.0,3329.02
16331.88,65.12,81,0.0,3329.02
16331.88,66.07,79,0.0,3329.02
16331.88,64.54,79,1.2375,3329.02
16331.88,65.52,82,0.0,3329.02
16331.88,65.67,82,0.0,3329.02
16331.88,65.59,79,2.4875,3329.02
16331.88,62.81,62,1.2375,3329.02
16331.88,61.52,62,0.0,3329.02
16331.88,61.07,62,0.0,3329.02
16331.88,60.82,79,0.0,3329.02
16331.88,60.8,81,1.2375,3329.02
16331.88,61.08,81,0.0,3329.02
16331.88,61.32,82,0.0,3329.02
16331.88,61.39,82,1.2375,3329.02
16331.88,61.43,83,0.0,3329.02
16331.88,61.47,83,0.0,3329.02
16331.88,64.53,80,0.0,3329.02
16331.88,65.78,80,1.25,3329.02
16331.88,65.99,83,1.1625,3329.02
16331.88,63.33,83,1.1875,3329.02
16331.88,65.47,74,0.0,3329.02
16331.88,65.13,74,1.2375,3329.02
16331.88,64.03,78,0.0,3329.02
16331.88,64.21,78,0.0,3329.02
16331.88,64.16,82,0.0,3329.02
16331.88,64.12,82,0.0,3329.02
16331.88,64.43,80,1.2375,3329.02
16331.88,64.29,80,0.0,3329.02
16331.88,64.53,80,0.0,3329.02
16331.88,64.53,80,1.2375,3329.02
16331.88,64.36,80,0.0,3329.02
16331.88,67.13,81,0.0,3329.02
16331.88,65.61,84,0.0,3329.02
16331.88,66.59,84,1.25,3329.02
16331.88,66.42,82,1.2375,3329.02
16331.88,67.08,82,0.0,3329.02
16331.88,66.48,63,1.2375,3329.02
16331.88,66.17,63,1.25,3329.02
16331.88,65.96,82,0.0,3329.02
16331.88,65.34,82,0.0,3329.02
16331.88,65.57,81,1.25,3329.02
16331.88,65.49,81,0.0,3329.02
16331.88,65.59,79,0.0,3329.02
16331.88,65.64,79,1.2375,3329.02
16331.88,65.58,82,0.0,3329.02
16331.88,65.43,82,0.0,3329.02
16331.88,64.75,81,0.0,3329.02
16331.88,65.35,81,0.0,3329.02
16331.88,65.12,81,2.4875,3329.02
16331.88,65.78,81,1.25,3329.02
16331.88,65.53,67,0.0,3329.02
16331.88,65.23,67,0.0,3329.02
16331.88,64.99,81,1.225,3329.02
16331.88,64.96,81,0.0,3329.02
16331.88,64.39,79,0.0,3329.02
16331.88,64.49,79,1.2125,3329.02
16331.88,64.47,81,0.0,3329.02
16331.88,64.51,81,0.0,3329.02
16331.88,64.8,81,1.2125,3329.02
16331.88,64.11,82,0.0,3329.02
16331.88,64.61,82,0.0,3329.02
16331.88,64.67,81,0.0,3329.02
16331.88,65.85,81,2.4125,3329.02
16331.88,65.12,71,0.0,3329.02
16331.88,65.66,71,0.0,3329.02
16331.88,65.45,82,1.2125,3329.02
16331.88,65.14,82,0.0,3329.02
16331.88,65.09,77,0.0,3329.02
16331.88,64.94,77,1.2125,3329.02
16331.88,65.03,81,0.0,3329.02
16331.88,65.09,81,0.0,3329.02
16331.88,65.04,81,0.0,3329.02
16331.88,64.8,81,1.2125,3329.02
16331.88,63.87,79,0.0,3329.02
16331.88,64.17,79,0.0,3329.02
16331.88,64.01,76,1.2125,3329.02
16331.88,62.22,76,3.65,3329.02
16331.88,63.69,76,0.0,3329.02
16331.88,62.87,70,0.0,3329.02
16331.88,62.99,70,0.0,3329.02
16331.88,62.99,79,1.2125,3329.02
16331.88,62.73,79,0.0,3329.02
16331.88,62.73,79,0.0,3329.02
