gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
15499.88,32.4,0,4.2375,3329.11
15499.88,32.4,0,0.0,3329.11
15499.88,30.99,0,1.2125,3329.11
15595.88,30.98,0,1.2125,3329.11
15595.88,31.13,0,0.0,3329.11
15595.88,35.05,52,0.0,3329.11
15595.88,37.52,52,1.2125,3329.11
15595.88,41.19,93,0.0,3329.11
15595.88,45.33,93,0.0,3329.11
15595.88,49.71,89,0.0,3329.11
15595.88,53.82,89,1.225,3329.11
15595.88,58.29,88,0.0,3329.11
15595.88,62.39,90,0.0,3329.11
15595.88,65.85,90,1.2125,3329.11
15595.88,69.63,89,0.0,3329.11
15595.88,72.82,89,0.0,3329.11
15595.88,72.46,89,0.0,3329.11
15595.88,73.75,89,1.2125,3329.11
15595.88,73.65,91,0.0,3329.11
15595.88,73.19,91,0.0,3329.11
15595.88,72.6,89,0.0,3329.11
15595.88,71.51,89,1.225,3329.11
15595.88,71.12,91,0.0,3329.11
15595.88,71.34,91,0.0,3329.11
15595.88,70.97,90,1.2125,3329.11
15595.88,71.29,90,0.0,3329.11
15595.88,71.29,90,0.0,3329.11
15595.88,71.17,90,0.0,3329.11
15595.88,71.26,89,1.2125,3329.11
15595.88,71.31,89,0.0,3329.11
15631.88,71.25,90,2.4375,3329.11
15631.88,73.08,90,0.0,3329.11
15631.88,73.57,82,0.0,3329.11
15631.88,73.81,82,1.2125,3329.11
15631.88,73.28,93,0.0,3329.11
15631.88,73.64,93,0.0,3329.11
15631.88,73.96,89,1.2125,3329.11
15631.88,74.32,89,0.0,3329.11
15631.88,74.11,89,0.0,3329.11
15631.88,74.31,89,0.0,3329.11
15631.88,73.93,90,1.2125,3329.11
15631.88,74.06,91,0.0,3329.11
15631.88,72.35,91,0.0,3329.11
15631.88,71.72,90,1.2125,3329.11
15631.88,71.66,90,0.0,3329.11
15631.88,71.44,90,0.0,3329.11
15631.88,71.08,90,0.0,3329.11
15631.88,70.86,90,1.225,3329.11
15631.88,71.04,90,0.0,3329.11
15631.88,70.84,90,0.0,3329.11
15631.88,71.3,90,1.2125,3329.11
15631.88,71.11,89,0.0,3329.11
15631.88,71.38,89,0.0,3329.11
15631.88,71.67,90,0.0,3329.11
15631.88,71.72,90,1.2125,3329.11
15631.88,72.45,89,0.0,3329.11
15631.88,72.83,89,0.0,3329.11
15631.88,72.79,89,1.225,3329.11
15633.88,69.34,90,1.1875,3329.11
15633.88,69.53,79,2.4375,3329.11
15633.88,69.14,79,0.0,3329.11
15633.88,69.24,90,0.0,3329.11
15633.88,69.52,90,0.0,3329.11
15633.88,69.19,90,1.2125,3329.11
15633.88,69.26,90,0.0,3329.11
15633.88,69.68,90,0.0,3329.11
15633.88,69.27,91,1.2125,3329.11
15633.88,68.79,90,0.0,3329.11
15633.88,68.79,90,0.0,3329.11
15633.88,72.25,90,0.0,3329.11
15633.88,72.25,90,1.2125,3329.11
15633.88,72.48,90,0.0,3329.11
15633.88,72.38,90,0.0,3329.11
15633.88,72.29,91,1.2125,3329.11
15633.88,72.33,91,0.0,3329.11
15633.88,72.18,90,0.0,3329.11
15633.88,71.95,90,0.0,3329.11
15633.88,71.87,90,1.2125,3329.11
15633.88,72.05,90,0.0,3329.11
15633.88,71.94,90,0.0,3329.11
15633.88,71.89,90,1.2125,3329.11
15633.88,71.78,90,0.0,3329.11
15633.88,71.62,90,1.225,3329.11
15633.88,71.78,87,1.2125,3329.11
15633.88,70.01,87,1.2125,3329.11
15633.88,69.8,77,0.0,3329.11
15633.88,69.59,77,0.0,3329.11
15633.88,69.7,88,1.225,3329.11
15633.88,69.89,88,0.0,3329.11
15633.88,70.09,90,0.0,3329.11
15633.88,70.36,91,0.0,3329.11
15633.88,70.62,91,0.0,3329.11
15633.88,71.15,90,1.2125,3329.11
15633.88,70.89,90,0.0,3329.11
15633.88,72.17,90,0.0,3329.11
15633.88,71.99,90,1.2125,3329.11
15633.88,71.9,91,0.0,3329.11
15633.88,71.94,91,1.2125,3329.11
15633.88,71.76,90,0.0,3329.11
15633.88,71.84,90,0.0,3329.11
15633.88,71.87,91,1.2125,3329.11
15633.88,71.6,91,0.0,3329.11
15633.88,71.66,90,0.0,3329.11
15633.88,72.08,90,1.2125,3329.11
15633.88,71.93,90,0.0,3329.11
15633.88,71.97,90,0.0,3329.11
15633.88,71.97,91,1.2125,3329.11
15633.88,72.12,91,0.0,3329.11
15633.88,72.13,90,1.2125,3329.23
15633.88,73.6,90,0.0,3329.23
15633.88,70.85,77,1.2125,3329.23
15633.88,70.91,77,0.0,3329.23
15633.88,71.21,68,0.0,3329.23
15633.88,71.05,68,1.2125,3329.23
15633.88,71.14,88,0.0,3329.23
15633.88,71.7,88,0.0,3329.23
15633.88,72.04,89,1.2125,3329.23
15633.88,72.42,90,1.2125,3329.23
15633.88,72.72,90,0.0,3329.23
15633.88,72.57,89,0.0,3329.23
15633.88,70.88,89,1.2,3329.23
15633.88,73.14,90,0.0,3329.23
15633.88,72.77,90,0.0,3329.23
15633.88,72.31,88,1.225,3329.23
15633.88,72.06,88,0.0,3329.23
15633.88,71.72,90,0.0,3329.23
15633.88,71.55,90,1.2125,3329.23
15633.88,71.69,89,0.0,3329.23
15633.88,71.4,89,0.0,3329.23
15633.88,71.34,88,1.2,3329.23
15633.88,71.24,88,0.0,3329.23
15633.88,71.35,90,0.0,3329.23
15633.88,71.41,90,0.0,3329.23
15633.88,71.73,90,1.225,3329.23
15633.88,72.13,90,1.225,3329.23
15633.88,73.76,75,0.0,3329.23
15633.88,73.6,75,1.225,3329.23
15633.88,72.28,97,0.0,3329.23
15633.88,71.89,97,0.0,3329.23
15633.88,72.11,90,1.2125,3329.23
15633.88,72.07,88,0.0,3329.23
15633.88,72.49,88,0.0,3329.23
15633.88,72.55,89,1.2125,3329.23
15633.88,72.72,89,1.225,3329.23
15633.88,72.72,90,0.0,3329.23
15633.88,70.46,90,0.0,3329.23
15633.88,70.37,90,1.225,3329.23
15633.88,71.38,89,0.0,3329.23
15633.88,71.33,91,0.0,3329.23
15633.88,71.28,91,0.0,3329.23
15633.88,71.41,91,1.225,3329.23
15633.88,71.34,90,0.0,3329.23
15633.88,71.34,90,0.0,3329.23
15633.88,71.58,88,0.0,3329.23
15633.88,71.51,88,0.0,3329.23
15633.88,71.55,89,1.225,3329.23
15633.88,71.44,89,0.0,3329.23
15633.88,71.52,91,0.0,3329.23
15633.88,71.42,91,0.0,3329.23
15633.88,71.55,91,1.225,3329.23
15633.88,71.66,91,0.0,3329.23
15633.88,71.55,90,1.2125,3329.23
15633.88,68.66,90,1.2125,3329.23
15633.88,69.98,77,0.0,3329.23
15633.88,70.01,98,0.0,3329.23
15633.88,68.48,98,0.0,3329.23
15633.88,68.45,90,1.2125,3329.23
15633.88,68.72,90,0.0,3329.23
15633.88,68.87,89,0.0,3329.23
15633.88,69.56,89,1.2125,3329.23
15633.88,69.56,90,0.0,3329.23
15633.88,69.48,90,0.0,3329.23
15633.88,72.45,90,0.0,3329.23
15633.88,70.61,90,1.2125,3329.23
15633.88,70.53,89,0.0,3329.23
15633.88,71.88,89,0.0,3329.23
15633.88,71.83,90,1.2125,3329.23
15633.88,71.78,90,0.0,3329.23
15633.88,71.87,90,0.0,3329.23
15633.88,71.38,90,1.2125,3329.23
15633.88,71.22,89,0.0,3329.23
15633.88,71.39,89,0.0,3329.23
15633.88,71.52,89,1.2125,3329.23
15633.88,71.44,89,0.0,3329.23
15633.88,71.33,89,0.0,3329.23
15633.88,71.4,89,1.2125,3329.23
15633.88,71.46,91,1.2125,3329.23
15633.88,71.47,90,0.0,3329.23
15633.88,71.33,90,1.2125,3329.23
15633.88,74.98,81,1.2125,3329.23
15633.88,73.23,81,0.0,3329.23
15633.88,73.16,90,0.0,3329.23
15633.88,73.12,90,1.2125,3329.23
15633.88,73.21,90,0.0,3329.23
15633.88,73.35,90,0.0,3329.23
15633.88,73.58,87,0.0,3329.23
15633.88,73.7,87,1.2125,3329.23
15633.88,73.72,89,0.0,3329.23
15633.88,73.76,89,0.0,3329.23
15633.88,73.87,88,0.0,3329.23
15633.88,70.53,88,1.2125,3329.23
15633.88,72.01,88,0.0,3329.23
15633.88,72.17,88,0.0,3329.23
15633.88,72.25,89,1.2,3329.23
15633.88,72.19,89,0.0,3329.23
15633.88,72.38,89,0.0,3329.23
15633.88,72.3,89,1.2125,3329.23
15633.88,72.75,88,0.0,3329.23
15633.88,73.39,88,0.0,3329.23
15633.88,73.21,89,0.0,3329.23
15633.88,73.11,89,2.375,3329.23
15633.88,73.21,89,0.0,3329.23
15633.88,73.19,91,0.0,3329.23
15633.88,73.0,90,1.2125,3329.23
15633.88,73.0,75,1.2125,3329.23
15633.88,75.12,75,0.0,3329.23
15633.88,74.96,100,1.2125,3329.23
15633.88,75.25,100,0.0,3329.23
15633.88,74.35,100,0.0,3329.23
15633.88,74.07,90,0.0,3329.23
15633.88,74.3,90,0.0,3329.23
15633.88,74.3,89,1.225,3329.23
15633.88,74.4,89,0.0,3329.23
15633.88,74.55,90,0.0,3329.23
15633.88,74.42,90,0.0,3329.23
15633.88,74.42,90,0.0,3329.23
15633.88,72.19,90,0.0,3329.23
15633.88,72.08,91,1.225,3329.23
15633.88,71.56,91,0.0,3329.23
15633.88,71.83,91,0.0,3329.23
15633.88,71.79,91,0.0,3329.23
15633.88,71.73,89,1.225,3329.23
15633.88,71.68,89,0.0,3329.23
15633.88,71.6,89,0.0,3329.23
15633.88,71.51,89,0.0,3329.23
15633.88,71.55,91,0.0,3329.23
15633.88,71.37,91,1.225,3329.23
15633.88,71.21,91,0.0,3329.23
15633.88,71.18,90,0.0,3329.23
15633.88,71.08,90,0.0,3329.23
15633.88,71.21,90,1.2125,3329.23
15633.88,71.24,90,0.0,3329.23
15633.88,67.89,77,1.2,3329.23
15633.88,68.05,77,1.2375,3329.23
15633.88,67.48,95,0.0,3329.23
15633.88,67.73,95,0.0,3329.23
15633.88,68.04,90,0.0,3329.23
15633.88,68.38,90,1.225,3329.23
15633.88,68.66,89,1.25,3329.23
15633.88,69.2,89,0.0,3329.23
15633.88,69.33,90,0.0,3329.23
15633.88,69.11,90,0.0,3329.23
15633.88,69.07,90,0.0,3329.23
15633.88,72.09,90,1.2375,3329.23
15633.88,71.84,88,0.0,3329.23
15633.88,72.22,88,0.0,3329.23
15633.88,72.1,91,0.0,3329.23
15633.88,71.86,91,0.0,3329.23
15633.88,71.86,91,1.25,3329.23
15633.88,71.97,91,0.0,3329.23
15633.88,71.97,91,0.0,3329.23
15633.88,71.94,90,0.0,3329.23
15633.88,71.85,90,1.2375,3329.23
