gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
18911.88,35.94,0,3.1625,3329.23
18911.88,33.74,0,0.0,3329.23
18911.88,30.65,0,0.0,3329.23
19145.88,30.65,0,1.2375,3329.23
19145.88,36.19,0,0.0,3329.23
19145.88,40.13,72,0.0,3329.23
19145.88,44.21,72,0.0,3329.23
19145.88,48.21,100,0.0,3329.23
19145.88,52.32,100,1.25,3329.23
19145.88,54.83,94,0.0,3329.23
19145.88,58.71,94,1.225,3329.23
19145.88,63.11,79,2.475,3329.23
19145.88,66.64,79,0.0,3329.23
19145.88,70.59,94,0.0,3329.23
19145.88,74.1,94,0.0,3329.23
19145.88,72.63,94,1.2375,3329.23
19145.88,72.39,90,0.0,3329.23
19145.88,72.5,90,0.0,3329.23
19145.88,72.15,94,0.0,3329.23
19145.88,72.11,94,1.25,3329.23
19145.88,72.91,95,0.0,3329.23
19145.88,72.82,95,0.0,3329.23
19145.88,71.87,95,0.0,3329.23
19145.88,72.19,95,1.25,3329.23
19145.88,71.95,95,0.0,3329.23
19145.88,72.27,95,1.2375,3329.23
19145.88,69.69,79,0.0,3329.23
19145.88,70.06,79,1.225,3329.23
19145.88,70.0,95,0.0,3329.23
19145.88,70.06,95,0.0,3329.23
19145.88,70.02,95,0.0,3329.23
19145.88,70.49,95,0.0,3329.23
19145.88,70.66,95,1.225,3329.23
19145.88,70.91,95,0.0,3329.23
19145.88,70.95,95,0.0,3329.23
19145.88,70.61,95,1.1875,3329.23
19145.88,70.41,95,0.0,3329.23
19145.88,72.38,95,0.0,3329.23
19145.88,71.48,96,0.0,3329.23
19145.88,71.6,96,1.225,3329.23
19145.88,71.42,95,0.0,3329.23
19145.88,71.53,95,0.0,3329.23
19145.88,71.51,95,0.0,3329.23
19145.88,71.49,95,2.1125,3329.23
19145.88,71.19,85,1.175,3329.23
19145.88,71.81,85,0.0,3329.23
19145.88,71.61,95,0.0,3329.23
19145.88,71.98,95,1.2125,3329.23
19145.88,71.83,95,1.2125,3329.23
19145.88,72.24,95,0.0,3329.23
19145.88,72.18,96,1.2125,3329.23
19145.88,72.23,96,0.0,3329.23
19145.88,71.82,95,0.0,3329.23
19145.88,71.69,95,0.0,3329.23
19145.88,71.71,96,1.2125,3329.23
19145.88,71.78,96,0.0,3329.23
19145.88,71.58,96,0.0,3329.23
19145.88,71.45,96,1.2125,3329.23
19145.88,71.73,95,3.6375,3329.23
19261.88,71.0,95,0.0,3329.23
19261.88,72.53,66,0.0,3329.23
19261.88,72.75,66,0.0,3329.23
19261.88,72.81,100,1.25,3329.23
19261.88,73.3,100,0.0,3329.23
19261.88,73.49,100,0.0,3329.23
19261.88,73.87,100,0.0,3329.23
19261.88,72.96,99,1.2375,3329.23
19261.88,72.8,94,0.0,3329.23
19261.88,73.64,94,0.0,3329.23
19261.88,73.4,93,1.2375,3329.23
19261.88,74.25,93,0.0,3329.23
19261.88,72.5,95,0.0,3329.23
19261.88,72.31,95,1.2375,3329.23
19261.88,72.38,93,0.0,3329.23
19261.88,72.22,93,1.2375,3329.23
19261.88,71.42,95,0.0,3329.23
19261.88,72.36,95,0.0,3329.23
19261.88,72.26,95,1.2375,3329.23
19261.88,71.78,95,0.0,3329.23
19261.88,71.51,95,0.0,3329.23
19261.88,71.75,95,1.25,3329.23
19261.88,71.73,95,0.0,3329.23
19261.88,71.9,95,0.0,3329.23
19261.88,71.71,95,1.2375,3329.23
19261.88,71.62,95,1.2375,3329.23
19261.88,71.62,95,0.0,3329.23
19261.88,71.32,95,0.0,3329.23
19261.88,71.6,95,0.0,3329.23
19261.88,71.44,95,1.2375,3329.23
19261.88,71.73,95,0.0,3329.23
19261.88,71.65,95,0.0,3329.23
19261.88,71.96,95,1.25,3329.23
19261.88,72.1,95,0.0,3329.23
19261.88,72.1,95,0.0,3329.23
19261.88,71.99,93,1.2375,3329.23
19261.88,71.83,93,0.0,3329.23
19261.88,72.11,94,0.0,3329.23
19261.88,71.89,94,0.0,3329.23
19261.88,72.15,95,1.25,3329.23
19261.88,71.98,95,0.0,3329.23
19261.88,72.19,95,0.0,3329.23
19261.88,71.97,95,0.0,3329.23
19261.88,72.17,95,1.25,3329.23
19261.88,71.89,95,0.0,3329.23
19261.88,71.91,95,1.2375,3329.23
19261.88,70.87,95,0.0,3329.23
19261.88,70.87,92,0.0,3329.23
19261.88,71.23,92,0.0,3329.23
19261.88,70.93,95,1.2,3329.23
19261.88,70.98,95,0.0,3329.23
19261.88,71.26,95,0.0,3329.23
19261.88,71.7,95,1.2125,3329.23
19261.88,71.8,88,0.0,3329.23
19261.88,71.8,88,0.0,3329.23
19261.88,71.88,95,1.225,3329.23
19261.88,71.77,93,1.1625,3329.23
