gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
19739.88,35.05,0,2.85,3325.77
19739.88,30.44,0,0.0,3325.77
19739.88,30.44,0,0.0,3325.77
20087.88,30.62,0,1.2375,3325.77
20087.88,34.83,0,0.0,3325.77
20087.88,38.84,92,1.2375,3325.77
20087.88,42.98,92,1.2375,3325.77
20087.88,47.02,100,0.0,3325.77
20087.88,51.09,100,0.0,3325.77
20087.88,55.12,100,1.2375,3325.77
20087.88,59.01,100,0.0,3325.77
20087.88,62.83,100,0.0,3325.77
20087.88,65.02,100,0.0,3325.77
20087.88,68.37,96,1.2375,3325.77
20087.88,72.19,96,0.0,3325.77
20087.88,71.88,97,0.0,3325.77
20087.88,71.84,97,0.0,3325.77
20087.88,71.72,97,1.25,3325.77
20087.88,71.46,97,0.0,3325.77
20087.88,71.41,97,0.0,3325.77
20087.88,70.98,97,0.0,3325.77
20087.88,70.78,97,0.0,3325.77
20087.88,70.78,98,0.0,3325.77
20087.88,70.21,98,0.0,3325.77
20087.88,71.59,98,2.475,3325.77
20087.88,71.73,98,0.0,3325.77
20087.88,71.39,98,0.0,3325.77
20087.88,71.49,97,0.0,3325.77
20087.88,71.34,97,0.0,3325.77
20087.88,71.67,98,0.0,3325.77
20087.88,71.43,98,0.0,3325.77
20087.88,71.75,98,1.25,3325.77
20087.88,71.63,98,0.0,3325.77
20087.88,72.11,98,0.0,3325.77
20087.88,71.9,98,0.0,3325.77
20087.88,72.32,98,0.0,3325.77
20087.88,72.01,98,0.0,3325.77
20087.88,72.52,98,0.0,3325.77
20087.88,72.49,98,1.2375,3325.77
20087.88,72.7,98,0.0,3325.77
20087.88,72.64,98,0.0,3325.77
20087.88,72.62,97,0.0,3325.77
20087.88,72.22,97,0.0,3325.77
20087.88,72.54,95,1.2375,3325.77
20087.88,72.28,95,0.0,3325.77
20087.88,72.28,96,0.0,3325.77
20087.88,72.58,96,0.0,3325.77
20087.88,72.98,97,0.0,3325.77
20087.88,72.69,97,1.225,3325.77
20087.88,72.58,97,0.0,3325.77
20087.88,72.37,97,0.0,3325.77
20087.88,72.13,97,0.0,3325.77
20087.88,71.9,97,0.0,3325.77
20087.88,71.99,98,0.0,3325.77
20087.88,71.65,98,1.2125,3325.77
20087.88,72.08,97,0.0,3325.77
20087.88,72.14,97,1.2125,3325.77
20087.88,72.45,96,0.0,3325.77
20087.88,72.2,96,0.0,3325.77
20087.88,72.43,96,2.425,3325.77
