gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
18155.88,30.86,0,3.4,3280.46
18263.88,30.86,0,0.0,3280.46
18263.88,35.66,20,0.0,3280.46
18263.88,37.34,20,1.2375,3280.46
18263.88,40.68,90,0.0,3280.46
18263.88,44.08,90,0.0,3280.46
18263.88,47.5,86,1.25,3280.46
18263.88,54.5,86,0.0,3280.46
18263.88,58.08,86,0.0,3280.46
18263.88,61.57,86,0.0,3280.46
18263.88,65.24,86,1.25,3280.46
18263.88,68.74,86,0.0,3280.46
18263.88,66.49,86,0.0,3280.46
18263.88,68.36,86,1.2125,3280.46
18263.88,68.66,86,0.0,3280.46
18263.88,68.43,84,0.0,3280.46
18263.88,68.57,84,0.0,3280.46
18263.88,68.57,84,1.2125,3280.46
18263.88,68.38,86,0.0,3280.46
18345.88,65.97,86,1.2125,3280.46
18345.88,66.53,78,0.0,3280.46
18345.88,65.71,78,1.2125,3280.46
18345.88,65.65,92,0.0,3280.46
18345.88,65.65,92,0.0,3280.46
18345.88,65.67,86,0.0,3280.46
18345.88,65.67,86,1.2125,3280.46
18345.88,65.74,86,0.0,3280.46
18345.88,66.15,86,0.0,3280.46
18345.88,66.21,86,1.225,3280.46
18345.88,66.21,86,0.0,3280.46
18345.88,68.97,86,1.225,3280.46
18345.88,67.82,78,0.0,3280.46
18345.88,68.35,78,0.0,3280.46
18345.88,68.28,86,1.2125,3280.46
18345.88,68.35,86,0.0,3280.46
18345.88,68.35,86,1.2125,3280.46
18345.88,68.45,86,0.0,3280.46
18345.88,68.53,86,0.0,3280.46
18345.88,68.51,86,1.2125,3280.46
18345.88,68.81,82,1.2125,3280.46
18345.88,68.64,82,1.2125,3280.46
18345.88,68.7,86,0.0,3280.46
18345.88,71.33,86,0.0,3280.46
18345.88,71.03,74,0.0,3280.46
18345.88,71.53,74,0.0,3280.46
18345.88,71.18,86,1.25,3280.46
18345.88,71.37,86,0.0,3280.46
18345.88,71.05,85,0.0,3280.46
18345.88,71.19,86,1.2375,3280.46
18345.88,71.45,86,0.0,3280.46
18345.88,71.51,87,0.0,3280.46
18345.88,72.33,87,1.2375,3280.46
18345.88,66.67,52,1.2375,3280.46
18345.88,67.11,52,0.0,3280.46
18345.88,66.74,67,0.0,3280.46
18345.88,67.11,67,1.2375,3280.46
18345.88,67.01,83,0.0,3280.46
18345.88,67.01,83,0.0,3280.46
18345.88,67.01,83,0.0,3280.46
18345.88,66.48,87,1.2375,3280.46
18345.88,66.48,87,0.0,3280.46
18345.88,66.43,85,1.25,3280.46
18345.88,67.25,85,0.0,3280.46
18345.88,64.83,79,1.25,3280.46
18345.88,68.18,79,0.0,3280.46
18345.88,68.19,86,0.0,3280.46
18345.88,68.31,86,0.0,3280.46
18345.88,68.08,85,1.25,3280.46
18345.88,68.01,85,0.0,3280.46
18345.88,68.0,86,0.0,3280.46
18345.88,68.24,86,0.0,3280.46
18345.88,67.82,86,1.25,3280.46
