gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
21419.88,29.36,0,3.0125,3280.2
21419.88,32.58,0,0.0,3280.2
21419.88,34.87,47,0.0,3280.2
21419.88,38.73,47,0.0,3280.2
21419.88,42.76,91,1.2125,3280.2
21419.88,46.8,91,0.0,3280.2
21419.88,50.87,91,0.0,3280.2
21419.88,54.81,91,0.0,3280.2
21419.88,58.97,90,1.225,3280.2
21419.88,62.83,90,0.0,3280.2
21419.88,66.76,91,0.0,3280.2
21419.88,66.84,91,1.2,3280.2
21419.88,71.38,91,1.2125,3280.2
21419.88,72.56,91,0.0,3280.2
21419.88,71.9,80,0.0,3280.2
21419.88,71.96,80,2.45,3280.2
21419.88,72.01,93,0.0,3280.33
21419.88,71.9,93,0.0,3280.33
21419.88,72.18,93,0.0,3280.33
21419.88,72.14,93,0.0,3280.33
21419.88,72.19,94,0.0,3280.33
21419.88,72.2,94,1.225,3280.33
21419.88,72.56,94,0.0,3280.33
21419.88,72.39,94,1.225,3280.33
21419.88,72.18,94,0.0,3280.33
21419.88,71.99,83,0.0,3280.33
21419.88,71.9,83,0.0,3280.33
21419.88,71.9,83,0.0,3280.33
21419.88,71.66,94,1.225,3280.33
21419.88,71.76,94,0.0,3280.33
21419.88,71.76,94,1.225,3280.33
21419.88,72.05,94,1.225,3280.33
21419.88,71.19,84,0.0,3280.33
21419.88,71.48,84,0.0,3280.33
21419.88,71.38,94,1.225,3280.33
21419.88,72.04,94,0.0,3280.33
21419.88,72.23,94,0.0,3280.33
21419.88,72.36,94,0.0,3280.33
21419.88,72.36,94,0.0,3280.33
21419.88,72.47,94,1.225,3280.33
21419.88,72.17,93,1.225,3280.33
21419.88,68.7,93,0.0,3280.33
21419.88,67.5,82,0.0,3280.33
21419.88,68.31,92,1.2125,3280.33
21419.88,68.24,92,0.0,3280.33
21419.88,68.37,91,0.0,3280.33
21419.88,68.45,91,2.425,3280.33
21419.88,68.61,81,0.0,3280.33
21419.88,69.97,81,0.0,3280.33
21419.88,69.04,92,0.0,3280.33
21419.88,69.03,92,1.2125,3280.33
21419.88,72.5,91,0.0,3280.33
21419.88,73.61,91,0.0,3280.33
21419.88,73.59,90,1.2125,3280.33
21419.88,73.81,90,0.0,3280.33
21419.88,73.63,91,0.0,3280.33
21419.88,73.87,91,2.425,3280.33
21419.88,73.48,91,0.0,3280.33
21419.88,71.85,91,0.0,3280.33
21419.88,72.25,91,1.2,3280.33
21419.88,72.08,91,0.0,3280.33
21419.88,71.99,91,1.2125,3280.33
21419.88,71.96,91,1.1875,3280.33
21419.88,73.54,78,0.0,3280.33
21419.88,72.75,78,1.2125,3280.33
21419.88,72.83,92,0.0,3280.33
21419.88,71.97,92,0.0,3280.33
21419.88,72.09,89,1.2125,3280.33
21419.88,72.63,89,0.0,3280.33
21419.88,73.35,91,0.0,3280.33
21419.88,73.35,91,2.4125,3280.33
21419.88,73.32,91,0.0,3280.33
21419.88,73.04,91,0.0,3280.33
21419.88,72.71,80,0.0,3280.33
21419.88,71.04,91,1.2,3280.33
21419.88,71.8,91,0.0,3280.33
21419.88,72.8,91,1.2125,3280.33
21419.88,72.45,91,2.425,3280.33
21419.88,72.64,81,0.0,3280.33
21419.88,72.29,81,0.0,3280.33
21419.88,72.34,90,1.225,3280.33
21419.88,72.41,90,0.0,3280.33
21419.88,72.77,91,0.0,3280.33
21419.88,73.12,91,0.0,3280.33
21419.88,73.09,92,0.0,3280.33
21419.88,72.92,92,1.2125,3280.33
21419.88,72.67,90,0.0,3280.33
21419.88,72.65,90,0.0,3280.33
21419.88,72.43,90,1.2125,3280.33
21419.88,71.6,90,0.0,3280.33
21419.88,71.76,90,0.0,3280.33
21419.88,71.75,90,0.0,3280.33
21419.88,71.81,90,1.2125,3280.33
21419.88,74.07,77,2.4,3280.33
21419.88,73.53,77,0.0,3280.33
21419.88,74.05,89,0.0,3280.33
21419.88,74.14,89,1.225,3280.33
21419.88,74.32,89,2.425,3280.33
21419.88,75.16,91,0.0,3280.33
21419.88,75.2,78,1.2125,3280.33
21419.88,75.24,78,0.0,3280.33
21419.88,75.27,91,0.0,3280.33
21419.88,75.41,91,2.425,3280.33
21419.88,77.33,78,0.0,3280.33
21419.88,74.81,78,0.0,3280.33
21419.88,75.21,92,1.2125,3280.33
21419.88,75.25,92,0.0,3280.33
21419.88,75.35,91,0.0,3280.33
21419.88,75.27,91,1.2125,3280.33
21419.88,76.82,81,1.225,3280.33
21419.88,75.96,81,0.0,3280.33
21419.88,75.93,93,0.0,3280.33
21419.88,76.17,93,0.0,3280.33
21419.88,75.88,91,1.2125,3280.33
21419.88,73.78,91,0.0,3280.33
21419.88,73.99,91,0.0,3280.33
21419.88,74.17,91,1.2125,3280.33
21419.88,73.8,91,0.0,3280.33
21419.88,73.75,91,0.0,3280.33
21419.88,73.19,91,1.2125,3280.33
21419.88,73.19,91,0.0,3280.33
21419.88,72.01,91,0.0,3280.33
21419.88,71.86,91,1.2125,3280.33
21419.88,71.57,91,1.225,3280.33
21419.88,69.77,91,1.2125,3280.33
21419.88,69.77,74,0.0,3280.33
21419.88,69.38,74,1.225,3280.33
21419.88,69.16,95,0.0,3280.33
21419.88,69.14,95,0.0,3280.33
21419.88,69.41,92,0.0,3280.33
21419.88,69.86,92,1.225,3280.33
21419.88,70.36,91,0.0,3280.33
21419.88,70.33,91,0.0,3280.33
21419.88,70.47,92,0.0,3280.33
21419.88,70.12,92,1.225,3280.33
21419.88,70.37,92,1.2,3280.33
21419.88,74.13,92,0.0,3280.33
21419.88,74.16,80,0.0,3280.33
21419.88,74.34,80,1.2,3280.33
21419.88,74.64,90,0.0,3280.33
21419.88,74.27,90,1.2,3280.33
21419.88,74.41,90,1.2,3280.33
21419.88,76.35,81,0.0,3280.33
21419.88,75.83,81,0.0,3280.33
21419.88,75.89,92,1.2125,3280.33
21419.88,76.26,92,0.0,3280.33
21419.88,76.06,91,0.0,3280.33
21419.88,74.27,91,2.425,3280.33
21419.88,72.52,79,0.0,3280.33
21419.88,71.67,79,1.2125,3280.33
21419.88,71.55,92,0.0,3280.33
21419.88,71.58,92,0.0,3280.33
21419.88,69.41,91,1.2125,3280.33
21419.88,70.25,91,2.425,3280.33
21419.88,72.33,82,0.0,3280.33
21419.88,71.94,82,0.0,3280.33
21419.88,72.11,91,0.0,3280.33
21419.88,72.11,91,2.4375,3280.33
21419.88,71.17,88,0.0,3280.33
21419.88,72.09,88,0.0,3280.33
21419.88,72.44,85,0.0,3280.33
21419.88,72.99,85,1.2125,3280.33
21419.88,72.76,91,0.0,3280.33
21419.88,72.8,91,0.0,3280.33
21419.88,72.8,91,1.2125,3280.33
21419.88,70.58,91,0.0,3280.33
21419.88,71.26,89,0.0,3280.33
21419.88,71.26,89,0.0,3280.33
21419.88,71.12,91,1.2125,3280.33
21419.88,71.96,91,0.0,3280.33
21419.88,72.58,92,0.0,3280.33
21419.88,72.53,92,1.2125,3280.33
21419.88,72.22,91,0.0,3280.33
21419.88,72.06,91,2.425,3280.33
21419.88,71.93,92,0.0,3280.33
21419.88,71.07,92,1.2125,3280.33
21419.88,70.96,79,0.0,3280.33
21419.88,71.1,79,0.0,3280.33
21419.88,71.19,91,2.4375,3280.33
21419.88,70.65,91,0.0,3280.33
21419.88,70.65,79,1.2125,3280.33
21419.88,70.66,79,0.0,3280.33
21419.88,70.87,91,0.0,3280.33
21419.88,71.23,91,1.2125,3280.33
21419.88,71.23,91,0.0,3280.33
21419.88,71.86,91,0.0,3280.33
21419.88,71.86,91,2.425,3280.33
21419.88,70.87,80,0.0,3280.33
21419.88,70.75,80,0.0,3280.33
21419.88,70.9,92,1.2125,3280.33
21419.88,72.06,92,0.0,3280.33
21419.88,72.17,93,0.0,3280.33
21419.88,71.69,93,1.2125,3280.33
21419.88,71.69,91,1.2125,3280.33
21419.88,72.48,91,0.0,3280.33
21419.88,72.23,80,0.0,3280.33
21419.88,72.29,80,1.225,3280.33
21419.88,72.92,91,0.0,3280.33
21419.88,73.3,91,0.0,3280.33
21419.88,69.8,89,1.2125,3280.33
21419.88,68.77,89,0.0,3280.33
21419.88,68.9,81,1.225,3280.33
21419.88,68.91,81,0.0,3280.33
21419.88,69.37,92,0.0,3280.33
21419.88,68.62,92,0.0,3280.33
21419.88,69.07,91,1.2125,3280.33
21419.88,67.52,91,1.2125,3280.33
21419.88,66.52,86,0.0,3280.33
21419.88,66.56,86,1.2125,3280.33
21419.88,66.38,83,0.0,3280.33
21419.88,69.74,83,0.0,3280.33
21419.88,70.64,91,2.3875,3280.33
21419.88,66.77,91,1.2,3280.33
21419.88,66.16,75,0.0,3280.33
21419.88,65.84,75,0.0,3280.33
21419.88,66.12,92,0.0,3280.33
21419.88,66.14,92,1.225,3280.33
21419.88,67.65,91,0.0,3280.33
