gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
21577.88,34.4,0,2.475,3280.23
21577.88,34.4,0,1.2375,3280.23
21577.88,34.65,0,0.0,3280.23
21577.88,37.22,89,0.0,3280.23
21577.88,40.25,89,0.0,3280.23
21577.88,44.3,97,1.2,3280.23
21577.88,48.32,97,0.0,3280.23
21577.88,52.54,97,0.0,3280.23
21577.88,56.58,97,1.2125,3280.23
21577.88,60.78,97,0.0,3280.23
21577.88,64.5,97,0.0,3280.23
21577.88,68.3,97,1.2125,3280.23
21577.88,71.99,97,1.2125,3280.23
21577.88,71.74,96,0.0,3280.23
21577.88,71.45,96,0.0,3280.23
21577.88,72.39,96,1.2125,3280.23
21577.88,72.53,96,0.0,3280.23
21577.88,72.3,96,0.0,3280.23
21577.88,72.45,97,1.2125,3280.23
21577.88,72.1,97,0.0,3280.23
21577.88,72.22,97,0.0,3280.23
21577.88,72.26,97,1.2125,3280.23
21577.88,72.33,97,1.2125,3280.23
21577.88,75.53,97,0.0,3280.23
21577.88,74.89,86,0.0,3280.23
21577.88,74.83,86,1.2125,3280.23
21577.88,74.24,97,0.0,3280.23
21577.88,74.17,97,0.0,3280.23
21577.88,74.36,97,0.0,3280.23
21577.88,74.26,97,1.2125,3280.23
21577.88,74.22,97,0.0,3280.23
21577.88,74.11,97,0.0,3280.23
21577.88,74.38,97,1.2125,3280.23
21577.88,74.67,97,0.0,3280.23
21577.88,72.36,96,1.2125,3280.23
21577.88,72.47,96,0.0,3280.23
21577.88,72.47,96,1.2125,3280.23
21577.88,72.76,97,0.0,3280.23
21577.88,72.76,97,0.0,3280.23
21577.88,72.71,97,0.0,3280.23
21577.88,72.64,97,1.2125,3280.23
21577.88,73.07,97,0.0,3280.23
21577.88,73.07,97,0.0,3280.23
21577.88,72.98,97,1.2125,3280.23
21577.88,72.86,96,0.0,3280.23
21577.88,72.48,96,0.0,3280.23
21577.88,72.7,97,0.0,3280.23
21577.88,69.31,97,2.425,3280.23
21577.88,69.31,83,0.0,3280.23
21577.88,69.14,83,0.0,3280.23
21577.88,68.58,98,1.2125,3280.23
21577.88,68.49,98,0.0,3280.23
21577.88,68.81,96,0.0,3280.23
21577.88,68.7,96,1.2125,3280.23
21577.88,68.91,96,0.0,3280.23
21577.88,68.99,96,0.0,3280.23
21577.88,69.16,96,0.0,3280.23
21577.88,69.03,96,1.225,3280.23
21577.88,69.02,96,0.0,3280.23
21577.88,72.28,97,0.0,3280.23
21577.88,71.93,97,1.2125,3280.23
21577.88,72.46,97,1.2125,3280.23
21577.88,72.46,97,0.0,3280.23
21577.88,72.52,97,0.0,3280.23
21577.88,72.12,97,1.2125,3280.23
21577.88,71.92,97,0.0,3280.23
21577.88,71.71,97,0.0,3280.23
21577.88,71.87,97,1.2125,3280.23
21577.88,71.68,97,0.0,3280.23
21577.88,71.9,97,0.0,3280.23
21577.88,72.23,97,1.2125,3280.23
21577.88,72.08,97,0.0,3280.23
21577.88,72.16,97,0.0,3280.23
21577.88,71.87,97,0.0,3280.23
21577.88,71.92,97,0.0,3280.23
21577.88,71.83,97,1.225,3280.23
21577.88,71.92,97,0.0,3280.23
21577.88,71.99,97,0.0,3280.23
21577.88,72.0,97,0.0,3280.23
21577.88,72.23,96,0.0,3280.23
21577.88,72.05,96,1.2125,3280.23
21577.88,72.18,96,0.0,3280.23
21577.88,72.14,96,0.0,3280.23
21577.88,72.23,96,1.2125,3280.23
21577.88,70.08,86,1.2125,3280.23
21577.88,69.55,86,0.0,3280.23
21577.88,69.67,86,0.0,3280.23
21577.88,69.66,97,0.0,3280.23
21577.88,69.67,96,1.1875,3280.23
21577.88,69.61,96,1.2125,3280.23
21577.88,69.99,96,0.0,3280.23
21577.88,69.83,96,1.2125,3280.23
21577.88,69.83,96,0.0,3280.23
21577.88,69.69,96,0.0,3280.23
21577.88,69.69,96,1.2125,3280.23
21577.88,71.23,96,0.0,3280.23
21577.88,71.35,96,0.0,3280.23
21577.88,72.05,96,1.2125,3280.23
21577.88,71.9,97,0.0,3280.23
21577.88,72.08,97,0.0,3280.23
21577.88,72.13,97,0.0,3280.23
21577.88,72.01,97,1.2125,3280.23
21577.88,71.89,97,1.225,3280.23
21577.88,72.61,97,0.0,3280.23
21577.88,71.61,87,0.0,3280.23
21577.88,71.75,87,0.0,3280.23
21577.88,71.94,97,1.225,3280.23
21577.88,72.2,97,0.0,3280.23
21577.88,72.3,96,0.0,3280.23
21577.88,72.72,96,1.2125,3280.23
21577.88,72.49,97,0.0,3280.23
21577.88,72.69,97,0.0,3280.23
21577.88,72.47,97,1.2125,3280.23
21577.88,72.5,96,0.0,3280.23
21577.88,71.58,96,0.0,3280.23
21577.88,72.23,96,0.0,3280.23
21577.88,72.31,96,1.2125,3280.23
21577.88,72.25,96,0.0,3280.23
21577.88,72.09,97,0.0,3280.23
21577.88,72.06,96,1.2125,3280.23
21577.88,72.06,96,0.0,3280.23
21577.88,71.91,96,0.0,3280.23
21577.88,71.81,96,1.225,3280.23
21577.88,71.81,96,0.0,3280.23
21577.88,71.45,97,0.0,3280.23
21577.88,71.57,97,0.0,3280.23
21577.88,71.96,97,0.0,3280.23
21577.88,72.08,97,1.225,3280.23
21577.88,72.06,97,0.0,3280.23
21577.88,72.02,97,1.225,3280.23
21577.88,72.07,97,0.0,3280.23
21577.88,72.74,86,0.0,3280.23
21577.88,72.63,86,1.225,3280.23
21577.88,72.04,98,0.0,3280.23
21577.88,72.67,98,0.0,3280.23
21577.88,73.03,97,0.0,3280.23
21577.88,73.2,97,0.0,3280.23
21577.88,73.24,97,0.0,3280.23
21577.88,73.25,97,1.225,3280.23
21577.88,73.01,97,0.0,3280.23
21577.88,73.03,97,0.0,3280.23
21577.88,71.92,97,1.2375,3280.23
21577.88,71.86,97,1.1875,3280.23
21577.88,72.86,96,0.0,3280.23
21577.88,72.84,96,0.0,3280.23
21577.88,72.99,95,0.0,3280.23
21577.88,72.82,95,1.2125,3280.23
21577.88,72.92,96,0.0,3280.23
21577.88,72.59,96,0.0,3280.23
21577.88,72.7,95,1.2125,3280.23
21577.88,72.44,95,0.0,3280.23
21577.88,72.41,95,0.0,3280.23
21577.88,72.26,95,0.0,3280.23
21577.88,72.6,95,0.0,3280.23
21577.88,72.44,95,1.225,3280.23
