gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
21647.88,31.2,0,2.2125,3329.86
21647.88,30.23,0,0.0,3329.86
21647.88,32.42,0,1.2375,3329.86
21647.88,35.51,61,1.25,3329.86
21647.88,39.55,61,0.0,3329.86
21647.88,43.44,87,0.0,3329.86
21647.88,47.67,86,1.25,3329.86
21647.88,51.85,86,0.0,3329.86
21647.88,55.99,88,0.0,3329.86
21647.88,64.2,88,0.0,3329.86
21647.88,67.9,88,1.25,3329.86
21647.88,73.44,88,0.0,3329.86
21647.88,69.08,75,1.25,3329.86
21647.88,68.55,75,1.2375,3329.86
21647.88,68.0,89,0.0,3329.86
21647.88,68.19,89,0.0,3329.86
21647.88,68.14,87,1.25,3329.86
21647.88,68.05,87,0.0,3329.86
21647.88,67.96,87,0.0,3329.86
21647.88,67.93,88,0.0,3329.86
21647.88,67.72,88,1.2375,3329.86
21647.88,67.61,88,0.0,3329.86
21647.88,67.98,88,0.0,3329.86
21647.88,71.19,88,0.0,3329.86
21647.88,72.52,74,2.425,3329.86
21647.88,72.69,74,0.0,3329.86
21647.88,72.85,84,0.0,3329.86
21647.88,72.78,84,1.225,3329.86
21647.88,72.86,84,0.0,3329.86
21647.88,72.94,84,0.0,3329.86
21647.88,72.56,86,1.225,3329.86
21647.88,72.8,86,0.0,3329.86
21647.88,72.8,86,0.0,3329.86
21647.88,73.17,86,0.0,3329.86
21647.88,70.54,86,3.6625,3329.86
21647.88,69.28,78,0.0,3329.86
21647.88,69.41,78,0.0,3329.86
21647.88,69.41,82,1.225,3329.86
21647.88,69.21,82,0.0,3329.86
21647.88,69.21,88,0.0,3329.86
21647.88,69.33,88,0.0,3329.86
21647.88,69.52,88,0.0,3329.86
21647.88,69.15,87,1.225,3329.86
21647.88,69.19,87,0.0,3329.86
21647.88,69.31,84,2.4375,3329.86
21647.88,71.32,84,0.0,3329.86
21647.88,72.51,70,0.0,3329.86
21647.88,72.79,70,0.0,3329.86
21647.88,72.78,85,1.2125,3329.86
21647.88,73.05,85,0.0,3329.86
21647.88,72.56,86,0.0,3329.86
21647.88,72.38,86,0.0,3329.86
21647.88,72.15,84,1.2125,3329.86
21647.88,72.22,84,0.0,3329.86
21647.88,71.86,87,3.6625,3329.86
21647.88,73.98,87,0.0,3329.86
21647.88,73.85,76,0.0,3329.86
