gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
21681.88,34.08,0,2.4125,3329.99
21681.88,30.19,0,0.0,3329.99
21681.88,33.36,39,0.0,3329.99
21681.88,36.72,39,1.2375,3329.99
21681.88,40.43,95,0.0,3329.99
21681.88,44.42,95,0.0,3329.99
21681.88,48.44,94,0.0,3329.99
21681.88,52.47,94,1.2375,3329.99
21681.88,56.44,94,0.0,3329.99
21681.88,60.37,94,0.0,3329.99
21681.88,64.09,94,1.225,3329.99
21681.88,67.55,94,0.0,3329.99
21681.88,72.21,94,0.0,3329.99
21681.88,72.34,94,1.2125,3329.99
21681.88,72.16,94,0.0,3329.99
21681.88,72.34,94,0.0,3329.99
21681.88,72.09,94,0.0,3329.99
21681.88,71.93,94,2.425,3329.99
21681.88,71.93,94,0.0,3329.99
21681.88,71.86,94,0.0,3329.99
21681.88,72.03,93,1.2125,3329.99
21681.88,72.3,93,0.0,3329.99
21681.88,72.28,95,0.0,3329.99
21681.88,72.28,95,1.2125,3329.99
21681.88,70.99,94,1.2125,3329.99
21681.88,70.99,94,0.0,3329.99
21681.88,70.59,81,0.0,3329.99
21681.88,69.62,81,1.25,3329.99
21681.88,69.62,95,0.0,3329.99
21681.88,69.78,95,0.0,3329.99
21681.88,69.93,94,0.0,3329.99
21681.88,69.82,94,1.2375,3329.99
21681.88,69.73,94,0.0,3329.99
21681.88,70.01,94,0.0,3329.99
21681.88,69.81,94,1.25,3329.99
21681.88,69.99,93,0.0,3329.99
21681.88,71.02,93,0.0,3329.99
21681.88,70.97,94,1.2375,3329.99
21681.88,71.99,94,0.0,3329.99
21681.88,71.86,94,0.0,3329.99
21681.88,71.51,94,1.2375,3329.99
21681.88,71.5,94,0.0,3329.99
21681.88,71.63,94,0.0,3329.99
21681.88,71.62,94,0.0,3329.99
21681.88,71.59,94,1.2375,3329.99
21681.88,71.6,94,0.0,3329.99
21681.88,71.87,94,0.0,3329.99
21681.88,71.95,95,1.25,3329.99
21681.88,68.77,95,1.25,3329.99
21681.88,67.78,81,0.0,3329.99
21681.88,67.92,81,0.0,3329.99
21681.88,67.97,81,1.2375,3329.99
21681.88,68.04,94,0.0,3329.99
21681.88,67.83,94,0.0,3329.99
21681.88,68.01,94,1.2375,3329.99
21681.88,68.46,95,0.0,3329.99
21681.88,68.53,95,0.0,3329.99
21681.88,68.67,94,1.25,3329.99
21681.88,68.67,94,0.0,3329.99
21681.88,68.69,94,0.0,3329.99
21681.88,73.06,94,0.0,3329.99
21681.88,72.93,94,1.25,3329.99
21681.88,72.94,94,0.0,3329.99
21681.88,72.67,94,0.0,3329.99
21681.88,72.31,94,1.2375,3329.99
21681.88,72.35,94,0.0,3329.99
21681.88,72.14,94,0.0,3329.99
21681.88,72.07,94,1.25,3329.99
21681.88,71.89,94,1.25,3329.99
21681.88,72.46,80,1.2125,3329.99
21681.88,72.08,80,0.0,3329.99
21681.88,72.23,94,0.0,3329.99
21681.88,72.39,94,1.2125,3329.99
21681.88,72.7,94,0.0,3329.99
21681.88,73.08,94,0.0,3329.99
21681.88,73.31,94,1.2125,3329.99
21681.88,73.16,94,0.0,3329.99
21681.88,73.15,94,0.0,3329.99
21681.88,73.02,94,0.0,3329.99
21681.88,72.96,95,1.2125,3329.99
21681.88,72.27,95,0.0,3329.99
21681.88,72.55,95,0.0,3329.99
21681.88,72.48,95,1.2125,3329.99
21681.88,72.33,95,0.0,3329.99
21681.88,72.12,96,0.0,3329.99
21681.88,72.04,96,1.2125,3329.99
21681.88,72.02,95,1.125,3329.99
21681.88,72.23,95,0.0,3329.99
21681.88,72.02,95,1.2125,3329.99
21681.88,69.08,95,2.4125,3329.99
21681.88,68.18,82,0.0,3329.99
21681.88,68.35,82,0.0,3329.99
21681.88,68.34,82,1.2125,3329.99
21681.88,68.31,94,0.0,3329.99
21681.88,68.2,94,0.0,3329.99
21681.88,68.15,94,1.2125,3329.99
21681.88,67.98,94,0.0,3329.99
21681.88,67.96,94,0.0,3329.99
21681.88,67.97,94,1.2125,3329.99
21681.88,68.17,94,0.0,3329.99
21681.88,71.2,94,0.0,3329.99
21681.88,72.17,94,1.2125,3329.99
21681.88,72.12,94,0.0,3329.99
21681.88,72.25,94,0.0,3329.99
21681.88,72.5,93,1.225,3329.99
21681.88,72.62,93,0.0,3329.99
21681.88,72.56,93,0.0,3329.99
21681.88,72.42,94,0.0,3329.99
21681.88,72.06,94,1.2125,3329.99
21681.88,72.14,94,0.0,3329.99
21681.88,71.88,93,1.2125,3329.99
21681.88,68.76,80,1.2125,3329.99
21681.88,68.94,80,0.0,3329.99
21681.88,68.25,95,0.0,3329.99
21681.88,68.23,95,1.225,3329.99
21681.88,68.41,95,0.0,3329.99
21681.88,68.54,94,0.0,3329.99
21681.88,68.81,94,2.4375,3329.99
21681.88,68.81,94,0.0,3329.99
21681.88,69.25,94,0.0,3329.99
21681.88,69.21,94,1.225,3329.99
21681.88,69.33,94,0.0,3329.99
21681.88,72.2,94,0.0,3329.99
21681.88,71.77,94,0.0,3329.99
21681.88,72.41,94,1.25,3329.99
21681.88,72.35,94,0.0,3329.99
21681.88,72.3,95,0.0,3329.99
21681.88,72.22,93,1.2125,3329.99
21681.88,72.26,93,0.0,3329.99
21681.88,72.01,94,0.0,3329.99
21681.88,71.9,94,1.2125,3329.99
21681.88,71.78,94,0.0,3329.99
21681.88,71.76,94,0.0,3329.99
21681.88,71.85,94,2.425,3329.99
21681.88,73.42,94,0.0,3329.99
21681.88,73.62,82,1.1875,3329.99
21681.88,72.67,82,0.0,3329.99
21681.88,72.59,94,0.0,3329.99
21681.88,72.52,94,1.2125,3329.99
21681.88,72.35,94,0.0,3329.99
21681.88,72.49,94,0.0,3329.99
21681.88,72.9,94,1.2125,3329.99
21681.88,73.31,94,0.0,3329.99
21681.88,73.54,94,0.0,3329.99
21681.88,73.66,94,0.0,3329.99
21681.88,72.07,94,1.2125,3329.99
21681.88,71.65,94,0.0,3329.99
21681.88,72.17,94,0.0,3329.99
21681.88,71.89,94,1.2125,3329.99
21681.88,71.97,94,0.0,3329.99
21681.88,72.06,94,0.0,3329.99
21681.88,72.06,95,1.2125,3329.99
21681.88,71.86,95,0.0,3329.99
21681.88,71.74,95,0.0,3329.99
21681.88,71.85,95,0.0,3329.99
21681.88,71.75,95,2.425,3329.99
21681.88,71.47,95,1.2125,3329.99
21681.88,71.64,95,0.0,3329.99
21681.88,74.92,95,1.225,3329.99
21681.88,74.19,80,0.0,3329.99
21681.88,74.39,80,0.0,3329.99
21681.88,74.47,95,0.0,3329.99
21681.88,74.51,95,1.2125,3329.99
21681.88,74.61,94,0.0,3329.99
21681.88,74.39,95,0.0,3329.99
21681.88,74.22,95,1.2,3329.99
21681.88,74.57,95,0.0,3329.99
21681.88,74.63,95,0.0,3329.99
21681.88,71.78,95,1.2125,3329.99
21681.88,72.4,95,0.0,3329.99
21681.88,72.19,94,0.0,3329.99
21681.88,72.02,94,0.0,3329.99
21681.88,71.78,95,0.0,3329.99
21681.88,71.54,95,1.225,3329.99
21681.88,71.72,95,0.0,3329.99
21681.88,72.01,95,1.225,3329.99
21681.88,72.34,82,0.0,3329.99
21681.88,72.45,82,0.0,3329.99
21681.88,71.88,97,1.225,3329.99
21681.88,72.0,97,1.225,3329.99
21681.88,72.01,95,0.0,3329.99
21681.88,72.25,95,0.0,3329.99
21681.88,72.18,95,1.2125,3329.99
21681.88,72.39,95,0.0,3329.99
21681.88,72.39,95,0.0,3329.99
21681.88,72.78,95,1.2,3329.99
21681.88,72.25,94,0.0,3329.99
21681.88,72.07,94,0.0,3329.99
21681.88,72.51,94,1.2125,3329.99
21681.88,72.43,94,0.0,3329.99
21681.88,72.35,94,0.0,3329.99
21681.88,72.35,94,0.0,3329.99
21681.88,72.37,93,1.2125,3329.99
21681.88,72.67,93,0.0,3329.99
21681.88,72.54,94,0.0,3329.99
21681.88,72.49,94,1.2125,3329.99
21681.88,72.24,94,0.0,3329.99
21681.88,72.1,94,0.0,3329.99
21681.88,72.38,94,2.4125,3329.99
21681.88,72.5,94,0.0,3329.99
21681.88,73.15,81,0.0,3329.99
21681.88,72.85,94,1.2125,3329.99
21681.88,72.99,94,0.0,3329.99
21681.88,73.08,94,0.0,3329.99
21681.88,72.95,94,0.0,3329.99
21681.88,72.86,92,1.2125,3329.99
21681.88,72.9,92,1.2125,3329.99
21681.88,72.84,94,0.0,3329.99
21681.88,72.66,94,1.2125,3329.99
21681.88,72.34,93,0.0,3329.99
21681.88,71.54,93,0.0,3329.99
21681.88,71.53,93,1.2125,3329.99
21681.88,71.39,93,0.0,3329.99
21681.88,71.24,94,2.4125,3329.99
21681.88,70.92,94,0.0,3329.99
21681.88,69.89,80,0.0,3329.99
21681.88,69.83,80,0.0,3329.99
21681.88,70.17,94,1.2125,3329.99
21681.88,70.72,94,0.0,3329.99
21681.88,71.23,93,0.0,3329.99
21681.88,71.65,94,0.0,3329.99
21681.88,71.59,94,1.2125,3329.99
21681.88,71.67,94,0.0,3329.99
21681.88,71.35,94,1.2125,3329.99
21681.88,70.79,94,0.0,3329.99
21681.88,71.59,94,0.0,3329.99
21681.88,71.54,94,0.0,3329.99
21681.88,71.42,94,1.2125,3329.99
21681.88,71.32,94,0.0,3329.99
21681.88,71.19,94,0.0,3329.99
21681.88,71.27,94,1.2125,3329.99
21681.88,71.57,94,0.0,3329.99
21681.88,71.72,93,1.1375,3329.99
21681.88,71.91,93,0.0,3329.99
21681.88,71.96,94,2.4125,3329.99
21681.88,71.96,94,0.0,3329.99
21681.88,74.01,94,1.2375,3329.99
21681.88,73.22,81,0.0,3329.99
21681.88,73.31,95,1.2125,3329.99
21681.88,73.33,95,0.0,3329.99
21681.88,73.33,95,0.0,3329.99
21681.88,73.44,95,0.0,3329.99
21681.88,73.61,95,1.2125,3329.99
21681.88,73.26,95,0.0,3329.99
21681.88,72.93,93,0.0,3329.99
21681.88,72.87,93,1.225,3329.99
