gpu_memory_mb,gpu_power_w,gpu_util_pct,cpu_util_pct,ram_mb
21721.88,31.33,0,1.95,3329.88
21721.88,30.6,0,0.0,3329.88
21721.88,33.53,0,0.0,3329.88
21721.88,37.49,84,1.25,3329.88
21721.88,41.47,84,0.0,3329.88
21721.88,45.59,100,0.0,3329.88
21721.88,49.64,100,1.25,3329.88
21721.88,53.9,99,0.0,3329.88
21721.88,57.86,99,0.0,3329.88
21721.88,60.78,99,0.0,3329.88
21721.88,64.4,98,1.25,3329.88
21721.88,64.94,98,0.0,3329.88
21721.88,72.42,98,0.0,3329.88
21721.88,72.49,98,1.25,3329.88
21721.88,72.61,98,0.0,3329.88
21721.88,72.61,98,1.2375,3329.88
21721.88,72.53,98,0.0,3329.88
21721.88,72.21,98,0.0,3329.88
21721.88,71.53,98,1.225,3329.88
21721.88,72.26,98,0.0,3329.88
21721.88,72.26,98,0.0,3329.88
21721.88,72.31,98,1.2125,3329.88
21721.88,72.02,98,0.0,3329.88
21721.88,72.41,99,0.0,3329.88
21721.88,72.46,99,1.2125,3329.88
21721.88,72.43,98,0.0,3329.88
21721.88,72.41,98,0.0,3329.88
21721.88,71.78,98,0.0,3329.88
21721.88,71.88,98,0.0,3329.88
21721.88,71.65,98,0.0,3329.88
21721.88,71.61,98,1.225,3329.88
21721.88,71.24,98,0.0,3329.88
21721.88,71.84,98,1.2125,3329.88
21721.88,71.76,98,0.0,3329.88
21721.88,71.83,98,1.2125,3329.88
21721.88,71.87,98,0.0,3329.88
21721.88,71.71,97,0.0,3329.88
21721.88,72.09,97,1.225,3329.88
21721.88,71.82,98,0.0,3329.88
21721.88,71.85,98,0.0,3329.88
21721.88,71.89,98,1.2,3329.88
21721.88,71.94,98,0.0,3329.88
21721.88,72.52,98,0.0,3329.88
21721.88,72.2,98,1.2125,3329.88
21721.88,72.51,98,0.0,3329.88
21721.88,72.48,98,0.0,3329.88
21721.88,72.28,98,0.0,3329.88
21721.88,72.21,97,1.2125,3329.88
21721.88,71.8,97,0.0,3329.88
21721.88,72.0,97,0.0,3329.88
21721.88,72.06,98,1.225,3329.88
21721.88,72.17,98,0.0,3329.88
21721.88,71.85,98,0.0,3329.88
21721.88,72.28,98,0.0,3329.88
21721.88,72.28,99,1.225,3329.88
21721.88,71.86,99,0.0,3329.88
21721.88,71.78,97,0.0,3329.88
21721.88,71.78,97,0.0,3329.88
21721.88,71.68,98,1.225,3329.88
21721.88,72.06,98,0.0,3329.88
21721.88,71.61,97,0.0,3329.88
21721.88,71.79,97,1.2125,3329.88
21721.88,71.91,98,1.2125,3329.88
21721.88,71.92,98,0.0,3329.88
21721.88,72.36,98,0.0,3329.88
21721.88,71.89,98,1.2125,3329.88
21721.88,72.14,98,0.0,3329.88
21721.88,71.89,98,0.0,3329.88
21721.88,71.82,98,0.0,3329.88
21721.88,71.81,98,1.2125,3329.88
21721.88,71.5,97,0.0,3329.88
21721.88,72.02,98,0.0,3329.88
21721.88,71.77,98,1.2125,3329.88
21721.88,71.84,98,0.0,3329.88
21721.88,71.76,98,0.0,3329.88
21721.88,72.03,98,1.2125,3329.88
21721.88,71.69,98,0.0,3329.88
21721.88,71.78,98,0.0,3329.88
21721.88,71.82,98,0.0,3329.88
21721.88,71.85,98,1.2,3329.88
21721.88,72.22,98,0.0,3329.88
21721.88,71.97,98,0.0,3329.88
21721.88,72.32,98,1.2125,3329.88
21721.88,72.32,98,0.0,3329.88
21721.88,72.2,98,0.0,3329.88
21721.88,72.26,98,0.0,3329.88
21721.88,71.91,98,3.625,3329.88
21721.88,69.47,77,0.0,3329.88
21721.88,69.44,77,0.0,3329.88
21721.88,69.63,100,0.0,3329.88
21721.88,69.71,100,1.225,3329.88
21721.88,69.62,100,1.2125,3329.88
21721.88,69.91,100,0.0,3329.88
21721.88,70.29,98,1.1,3329.88
21721.88,70.18,100,0.0,3329.88
21721.88,70.19,100,1.2125,3329.88
21721.88,69.53,98,0.0,3329.88
21721.88,69.9,98,0.0,3329.88
21721.88,72.71,98,1.2125,3329.88
21721.88,72.97,98,0.0,3329.88
21721.88,72.87,99,1.2,3329.88
21721.88,73.01,99,0.0,3329.88
21721.88,72.99,99,0.0,3329.88
21721.88,72.45,99,1.2125,3329.88
21721.88,72.34,99,0.0,3329.88
21721.88,71.92,99,0.0,3329.88
21721.88,72.46,99,0.0,3329.88
21721.88,72.46,99,1.2125,3329.88
21721.88,72.27,99,0.0,3329.88
21721.88,72.53,99,0.0,3329.88
21721.88,71.97,98,1.2125,3329.88
21721.88,72.25,98,0.0,3329.88
21721.88,72.07,98,0.0,3329.88
21721.88,71.92,98,1.225,3329.88
21721.88,71.83,98,0.0,3329.88
21721.88,71.62,98,0.0,3329.88
